[I 2024-07-08 21:07:01,125] A new study created in memory with name: no-name-2fce4595-1893-44fe-87ef-12d5c3f6e4d6
Seed set to 42

  0%|          | 0/300 [00:00<?, ?it/s]
Train: 0.5672 | Test: 0.4726 | Test metric: 0.5117 | Dataset: gs-lf:   0%|          | 0/300 [00:01<?, ?it/s]
Train: 0.5672 | Test: 0.4726 | Test metric: 0.5117 | Dataset: gs-lf:   0%|          | 1/300 [00:01<08:18,  1.67s/it]
Train: 0.3915 | Test: 0.3139 | Test metric: 0.5274 | Dataset: gs-lf:   0%|          | 1/300 [00:03<08:18,  1.67s/it]
Train: 0.1173 | Test: 0.1192 | Test metric: 0.7256 | Dataset: gs-lf:   7%|▋         | 22/300 [00:38<07:40,  1.66s/it]
Train: 0.1173 | Test: 0.1192 | Test metric: 0.7256 | Dataset: gs-lf:   8%|▊         | 23/300 [00:38<07:37,  1.65s/it]
Train: 0.1162 | Test: 0.1186 | Test metric: 0.7315 | Dataset: gs-lf:   8%|▊         | 23/300 [00:39<07:37,  1.65s/it]
Train: 0.1162 | Test: 0.1186 | Test metric: 0.7315 | Dataset: gs-lf:   8%|▊         | 24/300 [00:39<07:34,  1.65s/it]
Train: 0.1154 | Test: 0.1174 | Test metric: 0.7388 | Dataset: gs-lf:   8%|▊         | 24/300 [00:41<07:34,  1.65s/it]
Train: 0.1154 | Test: 0.1174 | Test metric: 0.7388 | Dataset: gs-lf:   8%|▊         | 25/300 [00:41<07:31,  1.64s/it]
Train: 0.1145 | Test: 0.1167 | Test metric: 0.7494 | Dataset: gs-lf:   8%|▊         | 25/300 [00:43<07:31,  1.64s/it]
Train: 0.1145 | Test: 0.1167 | Test metric: 0.7494 | Dataset: gs-lf:   9%|▊         | 26/300 [00:43<07:31,  1.65s/it]
Train: 0.1137 | Test: 0.1158 | Test metric: 0.7526 | Dataset: gs-lf:   9%|▊         | 26/300 [00:44<07:31,  1.65s/it]
Train: 0.1137 | Test: 0.1158 | Test metric: 0.7526 | Dataset: gs-lf:   9%|▉         | 27/300 [00:44<07:29,  1.65s/it]
Train: 0.1130 | Test: 0.1156 | Test metric: 0.7594 | Dataset: gs-lf:   9%|▉         | 27/300 [00:46<07:29,  1.65s/it]
Train: 0.1130 | Test: 0.1156 | Test metric: 0.7594 | Dataset: gs-lf:   9%|▉         | 28/300 [00:46<07:27,  1.64s/it]
Train: 0.1124 | Test: 0.1151 | Test metric: 0.7606 | Dataset: gs-lf:   9%|▉         | 28/300 [00:48<07:27,  1.64s/it]
Train: 0.1124 | Test: 0.1151 | Test metric: 0.7606 | Dataset: gs-lf:  10%|▉         | 29/300 [00:48<07:24,  1.64s/it]
Train: 0.1117 | Test: 0.1144 | Test metric: 0.7629 | Dataset: gs-lf:  10%|▉         | 29/300 [00:49<07:24,  1.64s/it]
Train: 0.1117 | Test: 0.1144 | Test metric: 0.7629 | Dataset: gs-lf:  10%|█         | 30/300 [00:49<07:23,  1.64s/it]
Train: 0.1110 | Test: 0.1137 | Test metric: 0.7789 | Dataset: gs-lf:  10%|█         | 30/300 [00:51<07:23,  1.64s/it]
Train: 0.1110 | Test: 0.1137 | Test metric: 0.7789 | Dataset: gs-lf:  10%|█         | 31/300 [00:51<07:24,  1.65s/it]
Train: 0.1104 | Test: 0.1128 | Test metric: 0.7825 | Dataset: gs-lf:  10%|█         | 31/300 [00:53<07:24,  1.65s/it]
Train: 0.1104 | Test: 0.1128 | Test metric: 0.7825 | Dataset: gs-lf:  11%|█         | 32/300 [00:53<07:24,  1.66s/it]
Train: 0.1096 | Test: 0.1122 | Test metric: 0.7840 | Dataset: gs-lf:  11%|█         | 32/300 [00:54<07:24,  1.66s/it]
Train: 0.1096 | Test: 0.1122 | Test metric: 0.7840 | Dataset: gs-lf:  11%|█         | 33/300 [00:54<07:20,  1.65s/it]
Train: 0.1091 | Test: 0.1120 | Test metric: 0.7901 | Dataset: gs-lf:  11%|█         | 33/300 [00:56<07:20,  1.65s/it]
Train: 0.1091 | Test: 0.1120 | Test metric: 0.7901 | Dataset: gs-lf:  11%|█▏        | 34/300 [00:56<07:18,  1.65s/it]
Train: 0.1087 | Test: 0.1116 | Test metric: 0.7922 | Dataset: gs-lf:  11%|█▏        | 34/300 [00:57<07:18,  1.65s/it]
Train: 0.1087 | Test: 0.1116 | Test metric: 0.7922 | Dataset: gs-lf:  12%|█▏        | 35/300 [00:57<07:16,  1.65s/it]
Train: 0.1081 | Test: 0.1112 | Test metric: 0.7988 | Dataset: gs-lf:  12%|█▏        | 35/300 [00:59<07:16,  1.65s/it]
Train: 0.1081 | Test: 0.1112 | Test metric: 0.7988 | Dataset: gs-lf:  12%|█▏        | 36/300 [00:59<07:15,  1.65s/it]
Train: 0.1075 | Test: 0.1106 | Test metric: 0.8032 | Dataset: gs-lf:  12%|█▏        | 36/300 [01:01<07:15,  1.65s/it]
Train: 0.1075 | Test: 0.1106 | Test metric: 0.8032 | Dataset: gs-lf:  12%|█▏        | 37/300 [01:01<07:13,  1.65s/it]
Train: 0.1072 | Test: 0.1096 | Test metric: 0.8039 | Dataset: gs-lf:  12%|█▏        | 37/300 [01:02<07:13,  1.65s/it]
Train: 0.1072 | Test: 0.1096 | Test metric: 0.8039 | Dataset: gs-lf:  13%|█▎        | 38/300 [01:02<07:12,  1.65s/it]
Train: 0.1071 | Test: 0.1099 | Test metric: 0.8086 | Dataset: gs-lf:  13%|█▎        | 38/300 [01:04<07:12,  1.65s/it]
Train: 0.1071 | Test: 0.1099 | Test metric: 0.8086 | Dataset: gs-lf:  13%|█▎        | 39/300 [01:04<07:11,  1.65s/it]
Train: 0.1061 | Test: 0.1091 | Test metric: 0.8098 | Dataset: gs-lf:  13%|█▎        | 39/300 [01:06<07:11,  1.65s/it]
Train: 0.1061 | Test: 0.1091 | Test metric: 0.8098 | Dataset: gs-lf:  13%|█▎        | 40/300 [01:06<07:09,  1.65s/it]
Train: 0.1057 | Test: 0.1091 | Test metric: 0.8126 | Dataset: gs-lf:  13%|█▎        | 40/300 [01:07<07:09,  1.65s/it]
Train: 0.1057 | Test: 0.1091 | Test metric: 0.8126 | Dataset: gs-lf:  14%|█▎        | 41/300 [01:07<07:08,  1.65s/it]
Train: 0.1054 | Test: 0.1082 | Test metric: 0.8157 | Dataset: gs-lf:  14%|█▎        | 41/300 [01:09<07:08,  1.65s/it]
Train: 0.1054 | Test: 0.1082 | Test metric: 0.8157 | Dataset: gs-lf:  14%|█▍        | 42/300 [01:09<07:06,  1.65s/it]
Train: 0.1051 | Test: 0.1080 | Test metric: 0.8175 | Dataset: gs-lf:  14%|█▍        | 42/300 [01:11<07:06,  1.65s/it]
Train: 0.1051 | Test: 0.1080 | Test metric: 0.8175 | Dataset: gs-lf:  14%|█▍        | 43/300 [01:11<07:06,  1.66s/it]
Train: 0.1047 | Test: 0.1077 | Test metric: 0.8204 | Dataset: gs-lf:  14%|█▍        | 43/300 [01:12<07:06,  1.66s/it]
Train: 0.1047 | Test: 0.1077 | Test metric: 0.8204 | Dataset: gs-lf:  15%|█▍        | 44/300 [01:12<07:05,  1.66s/it]
Train: 0.1043 | Test: 0.1074 | Test metric: 0.8223 | Dataset: gs-lf:  15%|█▍        | 44/300 [01:14<07:05,  1.66s/it]
Train: 0.1043 | Test: 0.1074 | Test metric: 0.8223 | Dataset: gs-lf:  15%|█▌        | 45/300 [01:14<07:06,  1.67s/it]
Train: 0.1038 | Test: 0.1070 | Test metric: 0.8255 | Dataset: gs-lf:  15%|█▌        | 45/300 [01:16<07:06,  1.67s/it]
Train: 0.1038 | Test: 0.1070 | Test metric: 0.8255 | Dataset: gs-lf:  15%|█▌        | 46/300 [01:16<07:03,  1.67s/it]
Train: 0.1035 | Test: 0.1067 | Test metric: 0.8256 | Dataset: gs-lf:  15%|█▌        | 46/300 [01:17<07:03,  1.67s/it]
Train: 0.1035 | Test: 0.1067 | Test metric: 0.8256 | Dataset: gs-lf:  16%|█▌        | 47/300 [01:17<07:00,  1.66s/it]
Train: 0.1036 | Test: 0.1063 | Test metric: 0.8271 | Dataset: gs-lf:  16%|█▌        | 47/300 [01:19<07:00,  1.66s/it]
Train: 0.1036 | Test: 0.1063 | Test metric: 0.8271 | Dataset: gs-lf:  16%|█▌        | 48/300 [01:19<06:56,  1.65s/it]
Train: 0.1026 | Test: 0.1063 | Test metric: 0.8284 | Dataset: gs-lf:  16%|█▌        | 48/300 [01:21<06:56,  1.65s/it]
Train: 0.1026 | Test: 0.1063 | Test metric: 0.8284 | Dataset: gs-lf:  16%|█▋        | 49/300 [01:21<06:54,  1.65s/it]
Train: 0.1029 | Test: 0.1064 | Test metric: 0.8330 | Dataset: gs-lf:  16%|█▋        | 49/300 [01:22<06:54,  1.65s/it]
Train: 0.1029 | Test: 0.1064 | Test metric: 0.8330 | Dataset: gs-lf:  17%|█▋        | 50/300 [01:22<06:55,  1.66s/it]
Train: 0.1024 | Test: 0.1057 | Test metric: 0.8318 | Dataset: gs-lf:  17%|█▋        | 50/300 [01:24<06:55,  1.66s/it]
Train: 0.1024 | Test: 0.1057 | Test metric: 0.8318 | Dataset: gs-lf:  17%|█▋        | 51/300 [01:24<06:53,  1.66s/it]
Train: 0.1018 | Test: 0.1054 | Test metric: 0.8342 | Dataset: gs-lf:  17%|█▋        | 51/300 [01:26<06:53,  1.66s/it]
Train: 0.1018 | Test: 0.1054 | Test metric: 0.8342 | Dataset: gs-lf:  17%|█▋        | 52/300 [01:26<06:52,  1.66s/it]
Train: 0.1018 | Test: 0.1053 | Test metric: 0.8345 | Dataset: gs-lf:  17%|█▋        | 52/300 [01:27<06:52,  1.66s/it]
Train: 0.1018 | Test: 0.1053 | Test metric: 0.8345 | Dataset: gs-lf:  18%|█▊        | 53/300 [01:27<06:50,  1.66s/it]
Train: 0.1014 | Test: 0.1050 | Test metric: 0.8360 | Dataset: gs-lf:  18%|█▊        | 53/300 [01:29<06:50,  1.66s/it]
Train: 0.1014 | Test: 0.1050 | Test metric: 0.8360 | Dataset: gs-lf:  18%|█▊        | 54/300 [01:29<06:49,  1.66s/it]
Train: 0.1009 | Test: 0.1051 | Test metric: 0.8377 | Dataset: gs-lf:  18%|█▊        | 54/300 [01:31<06:49,  1.66s/it]
Train: 0.1009 | Test: 0.1051 | Test metric: 0.8377 | Dataset: gs-lf:  18%|█▊        | 55/300 [01:31<06:47,  1.66s/it]
Train: 0.1008 | Test: 0.1058 | Test metric: 0.8358 | Dataset: gs-lf:  18%|█▊        | 55/300 [01:32<06:47,  1.66s/it]
Train: 0.1008 | Test: 0.1058 | Test metric: 0.8358 | Dataset: gs-lf:  19%|█▊        | 56/300 [01:32<06:44,  1.66s/it]
Train: 0.1007 | Test: 0.1046 | Test metric: 0.8383 | Dataset: gs-lf:  19%|█▊        | 56/300 [01:34<06:44,  1.66s/it]
Train: 0.1007 | Test: 0.1046 | Test metric: 0.8383 | Dataset: gs-lf:  19%|█▉        | 57/300 [01:34<06:42,  1.66s/it]
Train: 0.1002 | Test: 0.1040 | Test metric: 0.8399 | Dataset: gs-lf:  19%|█▉        | 57/300 [01:36<06:42,  1.66s/it]
Train: 0.1002 | Test: 0.1040 | Test metric: 0.8399 | Dataset: gs-lf:  19%|█▉        | 58/300 [01:36<06:45,  1.68s/it]
Train: 0.1002 | Test: 0.1051 | Test metric: 0.8391 | Dataset: gs-lf:  19%|█▉        | 58/300 [01:37<06:45,  1.68s/it]
Train: 0.1002 | Test: 0.1051 | Test metric: 0.8391 | Dataset: gs-lf:  20%|█▉        | 59/300 [01:37<06:42,  1.67s/it]
Train: 0.0999 | Test: 0.1037 | Test metric: 0.8423 | Dataset: gs-lf:  20%|█▉        | 59/300 [01:39<06:42,  1.67s/it]
Train: 0.0999 | Test: 0.1037 | Test metric: 0.8423 | Dataset: gs-lf:  20%|██        | 60/300 [01:39<06:39,  1.66s/it]
Train: 0.0996 | Test: 0.1034 | Test metric: 0.8426 | Dataset: gs-lf:  20%|██        | 60/300 [01:41<06:39,  1.66s/it]
Train: 0.0996 | Test: 0.1034 | Test metric: 0.8426 | Dataset: gs-lf:  20%|██        | 61/300 [01:41<06:36,  1.66s/it]
Train: 0.0992 | Test: 0.1037 | Test metric: 0.8434 | Dataset: gs-lf:  20%|██        | 61/300 [01:42<06:36,  1.66s/it]
Train: 0.0992 | Test: 0.1037 | Test metric: 0.8434 | Dataset: gs-lf:  21%|██        | 62/300 [01:42<06:34,  1.66s/it]
Train: 0.0990 | Test: 0.1036 | Test metric: 0.8432 | Dataset: gs-lf:  21%|██        | 62/300 [01:44<06:34,  1.66s/it]
Train: 0.0990 | Test: 0.1036 | Test metric: 0.8432 | Dataset: gs-lf:  21%|██        | 63/300 [01:44<06:31,  1.65s/it]
Train: 0.0989 | Test: 0.1033 | Test metric: 0.8452 | Dataset: gs-lf:  21%|██        | 63/300 [01:46<06:31,  1.65s/it]
Train: 0.0989 | Test: 0.1033 | Test metric: 0.8452 | Dataset: gs-lf:  21%|██▏       | 64/300 [01:46<06:29,  1.65s/it]
Train: 0.0986 | Test: 0.1029 | Test metric: 0.8459 | Dataset: gs-lf:  21%|██▏       | 64/300 [01:47<06:29,  1.65s/it]
Train: 0.0986 | Test: 0.1029 | Test metric: 0.8459 | Dataset: gs-lf:  22%|██▏       | 65/300 [01:47<06:27,  1.65s/it]
Train: 0.0986 | Test: 0.1029 | Test metric: 0.8461 | Dataset: gs-lf:  22%|██▏       | 65/300 [01:49<06:27,  1.65s/it]
Train: 0.0986 | Test: 0.1029 | Test metric: 0.8461 | Dataset: gs-lf:  22%|██▏       | 66/300 [01:49<06:25,  1.65s/it]
Train: 0.0984 | Test: 0.1033 | Test metric: 0.8459 | Dataset: gs-lf:  22%|██▏       | 66/300 [01:51<06:25,  1.65s/it]
Train: 0.0984 | Test: 0.1033 | Test metric: 0.8459 | Dataset: gs-lf:  22%|██▏       | 67/300 [01:51<06:25,  1.65s/it]
Train: 0.0984 | Test: 0.1026 | Test metric: 0.8480 | Dataset: gs-lf:  22%|██▏       | 67/300 [01:52<06:25,  1.65s/it]
Train: 0.0984 | Test: 0.1026 | Test metric: 0.8480 | Dataset: gs-lf:  23%|██▎       | 68/300 [01:52<06:22,  1.65s/it]
Train: 0.0982 | Test: 0.1026 | Test metric: 0.8477 | Dataset: gs-lf:  23%|██▎       | 68/300 [01:54<06:22,  1.65s/it]
Train: 0.0982 | Test: 0.1026 | Test metric: 0.8477 | Dataset: gs-lf:  23%|██▎       | 69/300 [01:54<06:20,  1.65s/it]
Train: 0.0977 | Test: 0.1023 | Test metric: 0.8495 | Dataset: gs-lf:  23%|██▎       | 69/300 [01:55<06:20,  1.65s/it]
Train: 0.0977 | Test: 0.1023 | Test metric: 0.8495 | Dataset: gs-lf:  23%|██▎       | 70/300 [01:55<06:20,  1.65s/it]
Train: 0.0979 | Test: 0.1019 | Test metric: 0.8501 | Dataset: gs-lf:  23%|██▎       | 70/300 [01:57<06:20,  1.65s/it]
Train: 0.0979 | Test: 0.1019 | Test metric: 0.8501 | Dataset: gs-lf:  24%|██▎       | 71/300 [01:57<06:19,  1.66s/it]
Train: 0.0974 | Test: 0.1026 | Test metric: 0.8487 | Dataset: gs-lf:  24%|██▎       | 71/300 [01:59<06:19,  1.66s/it]
Train: 0.0974 | Test: 0.1026 | Test metric: 0.8487 | Dataset: gs-lf:  24%|██▍       | 72/300 [01:59<06:18,  1.66s/it]
Train: 0.0973 | Test: 0.1025 | Test metric: 0.8505 | Dataset: gs-lf:  24%|██▍       | 72/300 [02:00<06:18,  1.66s/it]
Train: 0.0973 | Test: 0.1025 | Test metric: 0.8505 | Dataset: gs-lf:  24%|██▍       | 73/300 [02:00<06:16,  1.66s/it]
Train: 0.0972 | Test: 0.1026 | Test metric: 0.8502 | Dataset: gs-lf:  24%|██▍       | 73/300 [02:02<06:16,  1.66s/it]
Train: 0.0972 | Test: 0.1026 | Test metric: 0.8502 | Dataset: gs-lf:  25%|██▍       | 74/300 [02:02<06:12,  1.65s/it]
Train: 0.0966 | Test: 0.1017 | Test metric: 0.8511 | Dataset: gs-lf:  25%|██▍       | 74/300 [02:04<06:12,  1.65s/it]
Train: 0.0966 | Test: 0.1017 | Test metric: 0.8511 | Dataset: gs-lf:  25%|██▌       | 75/300 [02:04<06:10,  1.65s/it]
Train: 0.0964 | Test: 0.1016 | Test metric: 0.8515 | Dataset: gs-lf:  25%|██▌       | 75/300 [02:05<06:10,  1.65s/it]
Train: 0.0964 | Test: 0.1016 | Test metric: 0.8515 | Dataset: gs-lf:  25%|██▌       | 76/300 [02:05<06:10,  1.66s/it]
Train: 0.0964 | Test: 0.1019 | Test metric: 0.8524 | Dataset: gs-lf:  25%|██▌       | 76/300 [02:07<06:10,  1.66s/it]
Train: 0.0964 | Test: 0.1019 | Test metric: 0.8524 | Dataset: gs-lf:  26%|██▌       | 77/300 [02:07<06:08,  1.65s/it]
Train: 0.0962 | Test: 0.1015 | Test metric: 0.8534 | Dataset: gs-lf:  26%|██▌       | 77/300 [02:09<06:08,  1.65s/it]
Train: 0.0962 | Test: 0.1015 | Test metric: 0.8534 | Dataset: gs-lf:  26%|██▌       | 78/300 [02:09<06:06,  1.65s/it]
Train: 0.0960 | Test: 0.1012 | Test metric: 0.8526 | Dataset: gs-lf:  26%|██▌       | 78/300 [02:10<06:06,  1.65s/it]
Train: 0.0960 | Test: 0.1012 | Test metric: 0.8526 | Dataset: gs-lf:  26%|██▋       | 79/300 [02:10<06:04,  1.65s/it]
Train: 0.0958 | Test: 0.1012 | Test metric: 0.8535 | Dataset: gs-lf:  26%|██▋       | 79/300 [02:12<06:04,  1.65s/it]
Train: 0.0958 | Test: 0.1012 | Test metric: 0.8535 | Dataset: gs-lf:  27%|██▋       | 80/300 [02:12<06:02,  1.65s/it]
Train: 0.0958 | Test: 0.1021 | Test metric: 0.8542 | Dataset: gs-lf:  27%|██▋       | 80/300 [02:14<06:02,  1.65s/it]
Train: 0.0958 | Test: 0.1021 | Test metric: 0.8542 | Dataset: gs-lf:  27%|██▋       | 81/300 [02:14<06:01,  1.65s/it]
Train: 0.0957 | Test: 0.1016 | Test metric: 0.8531 | Dataset: gs-lf:  27%|██▋       | 81/300 [02:15<06:01,  1.65s/it]
Train: 0.0957 | Test: 0.1016 | Test metric: 0.8531 | Dataset: gs-lf:  27%|██▋       | 82/300 [02:15<05:58,  1.65s/it]
Train: 0.0955 | Test: 0.1009 | Test metric: 0.8549 | Dataset: gs-lf:  27%|██▋       | 82/300 [02:17<05:58,  1.65s/it]
Train: 0.0955 | Test: 0.1009 | Test metric: 0.8549 | Dataset: gs-lf:  28%|██▊       | 83/300 [02:17<05:57,  1.65s/it]
Train: 0.0953 | Test: 0.1010 | Test metric: 0.8549 | Dataset: gs-lf:  28%|██▊       | 83/300 [02:19<05:57,  1.65s/it]
Train: 0.0953 | Test: 0.1010 | Test metric: 0.8549 | Dataset: gs-lf:  28%|██▊       | 84/300 [02:19<05:56,  1.65s/it]
Train: 0.0952 | Test: 0.1012 | Test metric: 0.8557 | Dataset: gs-lf:  28%|██▊       | 84/300 [02:20<05:56,  1.65s/it]
Train: 0.0952 | Test: 0.1012 | Test metric: 0.8557 | Dataset: gs-lf:  28%|██▊       | 85/300 [02:20<05:58,  1.67s/it]
Train: 0.0952 | Test: 0.1012 | Test metric: 0.8558 | Dataset: gs-lf:  28%|██▊       | 85/300 [02:22<05:58,  1.67s/it]
Train: 0.0952 | Test: 0.1012 | Test metric: 0.8558 | Dataset: gs-lf:  29%|██▊       | 86/300 [02:22<05:54,  1.66s/it]
Train: 0.0949 | Test: 0.1008 | Test metric: 0.8557 | Dataset: gs-lf:  29%|██▊       | 86/300 [02:24<05:54,  1.66s/it]
Train: 0.0949 | Test: 0.1008 | Test metric: 0.8557 | Dataset: gs-lf:  29%|██▉       | 87/300 [02:24<05:53,  1.66s/it]
Train: 0.0946 | Test: 0.1005 | Test metric: 0.8565 | Dataset: gs-lf:  29%|██▉       | 87/300 [02:25<05:53,  1.66s/it]
Train: 0.0946 | Test: 0.1005 | Test metric: 0.8565 | Dataset: gs-lf:  29%|██▉       | 88/300 [02:25<05:51,  1.66s/it]
Train: 0.0945 | Test: 0.1015 | Test metric: 0.8558 | Dataset: gs-lf:  29%|██▉       | 88/300 [02:27<05:51,  1.66s/it]
Train: 0.0945 | Test: 0.1015 | Test metric: 0.8558 | Dataset: gs-lf:  30%|██▉       | 89/300 [02:27<05:48,  1.65s/it]
Train: 0.0943 | Test: 0.1006 | Test metric: 0.8564 | Dataset: gs-lf:  30%|██▉       | 89/300 [02:29<05:48,  1.65s/it]
Train: 0.0943 | Test: 0.1006 | Test metric: 0.8564 | Dataset: gs-lf:  30%|███       | 90/300 [02:29<05:46,  1.65s/it]
Train: 0.0944 | Test: 0.1007 | Test metric: 0.8562 | Dataset: gs-lf:  30%|███       | 90/300 [02:30<05:46,  1.65s/it]
Train: 0.0944 | Test: 0.1007 | Test metric: 0.8562 | Dataset: gs-lf:  30%|███       | 91/300 [02:30<05:44,  1.65s/it]
Train: 0.0942 | Test: 0.1009 | Test metric: 0.8577 | Dataset: gs-lf:  30%|███       | 91/300 [02:32<05:44,  1.65s/it]
