Dataset,Mixture 1,Mixture 2,Experimental Values
Snitz 2,3,4,0.448164066
Snitz 2,3,10,0.55311862
Snitz 2,9,5,0.381566352
Snitz 2,9,12,0.699182921
Snitz 2,9,3,0.508135923
Snitz 2,9,14,0.455659939
Snitz 2,13,1,0.549520134
Snitz 2,13,2,0.566943825
Snitz 2,13,6,0.599266027
Snitz 2,4,5,0.289236253
Snitz 2,4,8,0.483749082
Snitz 2,4,13,0.622244157
Snitz 2,4,11,0.573445625
Snitz 2,10,9,0.483212535
Snitz 2,10,4,0.399586021
Snitz 2,14,1,0.65665315
Snitz 2,14,6,0.663165187
Snitz 2,14,7,0.33198546
Snitz 2,14,13,0.595095117
Snitz 2,14,10,0.347093793
Snitz 2,11,1,0.379850967
Snitz 2,11,2,0.478150495
Snitz 2,11,8,0.519923765
Snitz 2,11,12,0.652060266
Snitz 2,11,13,0.4955536
Snitz 2,1,5,0.365823651
Snitz 2,1,8,0.640420003
Snitz 2,1,6,0.554831352
Snitz 2,1,12,0.461249656
Snitz 2,1,9,0.531256662
Snitz 2,1,10,0.629883689
Snitz 2,5,8,0.523572917
Snitz 2,5,13,0.623722766
Snitz 2,5,10,0.524793971
Snitz 2,5,14,0.434726288
Snitz 2,5,11,0.444452165
Snitz 2,2,7,0.434875161
Snitz 2,2,3,0.521107479
Snitz 2,2,9,0.435297988
Snitz 2,2,4,0.389479171
Snitz 2,2,10,0.409498442
Snitz 2,2,14,0.353717605
Snitz 2,8,6,0.699666352
Snitz 2,8,12,0.75005623
Snitz 2,8,3,0.493943735
Snitz 2,8,13,0.766438661
Snitz 2,8,10,0.537752536
Snitz 2,8,14,0.61790083
Snitz 2,6,3,0.648905326
Snitz 2,6,9,0.722060567
Snitz 2,6,4,0.718496654
Snitz 2,12,7,0.661498482
Snitz 2,12,13,0.633933962
Snitz 2,12,4,0.724689658
Snitz 2,12,14,0.608783615
Snitz 2,7,3,0.464489509
Snitz 2,7,9,0.41743823
Snitz 2,7,13,0.560994228
Snitz 2,7,4,0.385388532
Snitz 2,7,10,0.499030847
Snitz 2,7,11,0.344029083
Snitz 2,3,14,0.516065325
Snitz 2,3,11,0.496331653
Snitz 2,9,13,0.582958927
Snitz 2,9,4,0.414009564
Snitz 2,9,11,0.309007512
Snitz 2,13,10,0.609489573
Snitz 2,4,14,0.369436836
Snitz 2,10,11,0.540210832
Snitz 2,14,11,0.374876806
Snitz 2,1,1,0.297098792
Snitz 2,5,5,0.417109793
Snitz 2,11,11,0.303733017
Snitz 2,14,14,0.315309426
Ravia,1,11,0.75
Ravia,2,12,0.589285714
Ravia,3,13,0.5
Ravia,4,14,0.5
Ravia,5,15,0.660714286
Ravia,6,16,0.517857143
Ravia,7,17,0.428571429
Ravia,8,18,0.482142857
Ravia,9,19,0.375
Ravia,10,20,0.75
Ravia,21,31,0.589285714
Ravia,22,32,0.910714286
Ravia,23,33,0.482142857
Ravia,24,34,0.732142857
Ravia,25,35,0.464285714
Ravia,26,36,0.714285714
Ravia,27,37,0.5
Ravia,28,38,0.607142857
Ravia,29,39,0.589285714
Ravia,30,40,0.910714286
Ravia,41,51,0.354166667
Ravia,42,52,0.5
Ravia,43,53,0.395833333
Ravia,44,54,0.395833333
Ravia,45,55,0.354166667
Ravia,46,56,0.520833333
Ravia,47,57,0.5
Ravia,48,58,0.354166667
Ravia,49,59,0.3125
Ravia,50,60,0.395833333
Ravia,61,71,0.666666667
Ravia,62,72,0.541666667
Ravia,63,73,0.604166667
Ravia,64,74,0.458333333
Ravia,65,75,0.645833333
Ravia,66,76,0.729166667
Ravia,67,77,0.645833333
Ravia,68,78,0.666666667
Ravia,69,79,0.604166667
Ravia,70,80,0.770833333
Ravia,81,91,0.4375
Ravia,82,92,0.359375
Ravia,83,93,0.46875
Ravia,84,94,0.46875
Ravia,85,95,0.671875
Ravia,86,96,0.40625
Ravia,87,97,0.390625
Ravia,88,98,0.421875
Ravia,89,99,0.421875
Ravia,90,100,0.46875
Ravia,1,1,0.433333333
Ravia,1,11,0.683333333
Ravia,2,2,0.566666667
Ravia,2,12,0.658333333
Ravia,3,3,0.65
Ravia,3,13,0.516666667
Ravia,4,4,0.466666667
Ravia,4,14,0.541666667
Ravia,5,5,0.766666667
Ravia,5,15,0.75
Ravia,6,6,0.583333333
Ravia,6,16,0.441666667
Ravia,7,7,0.616666667
Ravia,7,17,0.508333333
Ravia,8,8,0.583333333
Ravia,8,18,0.525
Ravia,9,9,0.633333333
Ravia,9,19,0.716666667
Ravia,10,10,0.566666667
Ravia,10,20,0.641666667
Ravia,11,11,0.616666667
Ravia,12,12,0.65
Ravia,13,13,0.733333333
Ravia,14,14,0.683333333
Ravia,15,15,0.583333333
Ravia,16,16,0.566666667
Ravia,17,17,0.583333333
Ravia,18,18,0.55
Ravia,19,19,0.65
Ravia,20,20,0.533333333
Ravia,21,21,0.566666667
Ravia,21,31,0.741666667
Ravia,22,22,0.683333333
Ravia,22,32,0.95
Ravia,23,23,0.533333333
Ravia,23,33,0.616666667
Ravia,24,24,0.416666667
Ravia,24,34,0.883333333
Ravia,25,25,0.433333333
Ravia,25,35,0.608333333
Ravia,26,26,0.5
Ravia,26,36,0.783333333
Ravia,27,27,0.65
Ravia,27,37,0.583333333
Ravia,28,28,0.7
Ravia,28,38,0.666666667
Ravia,29,29,0.75
Ravia,29,39,0.641666667
Ravia,30,30,0.55
Ravia,30,40,0.7
Ravia,31,31,0.55
Ravia,32,32,0.666666667
Ravia,33,33,0.616666667
Ravia,34,34,0.583333333
Ravia,35,35,0.633333333
Ravia,36,36,0.5
Ravia,37,37,0.5
Ravia,38,38,0.566666667
Ravia,39,39,0.566666667
Ravia,40,40,0.683333333
Ravia,41,41,0.75
Ravia,41,51,0.45
Ravia,42,42,0.7
Ravia,42,52,0.733333333
Ravia,43,43,0.5
Ravia,43,53,0.841666667
Ravia,44,44,0.683333333
Ravia,44,54,0.583333333
Ravia,45,45,0.683333333
Ravia,45,55,0.333333333
Ravia,46,46,0.7
Ravia,46,56,0.558333333
Ravia,47,47,0.65
Ravia,47,57,0.508333333
Ravia,48,48,0.633333333
Ravia,48,58,0.408333333
Ravia,49,49,0.633333333
Ravia,49,59,0.683333333
Ravia,50,50,0.483333333
Ravia,50,60,0.5
Ravia,51,51,0.616666667
Ravia,52,52,0.65
Ravia,53,53,0.666666667
Ravia,54,54,0.666666667
Ravia,55,55,0.633333333
Ravia,56,56,0.733333333
Ravia,57,57,0.533333333
Ravia,58,58,0.583333333
Ravia,59,59,0.733333333
Ravia,60,60,0.583333333
Ravia,81,81,0.733333333
Ravia,81,91,0.675
Ravia,82,82,0.633333333
Ravia,82,92,0.458333333
Ravia,83,83,0.566666667
Ravia,83,93,0.641666667
Ravia,84,84,0.65
Ravia,84,94,0.425
Ravia,85,85,0.466666667
Ravia,85,95,0.525
Ravia,86,86,0.633333333
Ravia,86,96,0.35
Ravia,87,87,0.733333333
Ravia,87,97,0.258333333
Ravia,88,88,0.7
Ravia,88,98,0.316666667
Ravia,89,89,0.65
Ravia,89,99,0.5
Ravia,90,90,0.633333333
Ravia,90,100,0.466666667
Ravia,91,91,0.7
Ravia,92,92,0.766666667
Ravia,93,93,0.65
Ravia,94,94,0.516666667
Ravia,95,95,0.616666667
Ravia,96,96,0.566666667
Ravia,97,97,0.683333333
Ravia,98,98,0.65
Ravia,99,99,0.583333333
Ravia,100,100,0.583333333
Ravia,101,101,0.733333333
Ravia,101,111,0.458333333
Ravia,102,102,0.7
Ravia,102,112,0.441666667
Ravia,103,103,0.7
Ravia,103,113,0.8
Ravia,104,104,0.533333333
Ravia,104,114,0.383333333
Ravia,105,105,0.566666667
Ravia,105,115,0.6
Ravia,106,106,0.783333333
Ravia,106,116,0.45
Ravia,107,107,0.7
Ravia,107,117,0.675
Ravia,108,108,0.65
Ravia,108,118,0.466666667
Ravia,109,109,0.416666667
Ravia,109,119,0.716666667
Ravia,110,110,0.716666667
Ravia,110,120,0.433333333
Ravia,111,111,0.583333333
Ravia,112,112,0.666666667
Ravia,113,113,0.6
Ravia,114,114,0.683333333
Ravia,115,115,0.65
Ravia,116,116,0.833333333
Ravia,117,117,0.65
Ravia,118,118,0.65
Ravia,119,119,0.616666667
Ravia,120,120,0.666666667
Bushdid,1,2,0.423076923
Bushdid,3,4,0.346153846
Bushdid,5,6,0.230769231
Bushdid,7,8,0.269230769
Bushdid,9,10,0.192307692
Bushdid,11,12,0.192307692
Bushdid,13,14,0.269230769
Bushdid,15,16,0.269230769
Bushdid,17,18,0.346153846
Bushdid,19,20,0.346153846
Bushdid,21,22,0.269230769
Bushdid,23,24,0.423076923
Bushdid,25,26,0.346153846
Bushdid,27,28,0.230769231
Bushdid,29,30,0.307692308
Bushdid,31,32,0.461538462
Bushdid,33,34,0.307692308
Bushdid,35,36,0.269230769
Bushdid,37,38,0.230769231
Bushdid,39,40,0.269230769
Bushdid,41,42,0.423076923
Bushdid,43,44,0.346153846
Bushdid,45,46,0.576923077
Bushdid,47,48,0.423076923
Bushdid,49,50,0.230769231
Bushdid,51,52,0.576923077
Bushdid,53,54,0.192307692
Bushdid,55,56,0.461538462
Bushdid,57,58,0.346153846
Bushdid,59,60,0.538461538
Bushdid,61,62,0.269230769
Bushdid,63,64,0.384615385
Bushdid,65,66,0.692307692
Bushdid,67,68,0.576923077
Bushdid,69,70,0.346153846
Bushdid,71,72,0.423076923
Bushdid,73,74,0.423076923
Bushdid,75,76,0.192307692
Bushdid,77,78,0.153846154
Bushdid,79,80,0.192307692
Bushdid,81,82,0.423076923
Bushdid,83,84,0.230769231
Bushdid,85,86,0.423076923
Bushdid,87,88,0.346153846
Bushdid,89,90,0.192307692
Bushdid,91,92,0.230769231
Bushdid,93,94,0.576923077
Bushdid,95,96,0.230769231
Bushdid,97,98,0.807692308
Bushdid,99,100,0.384615385
Bushdid,101,102,0.576923077
Bushdid,103,104,0.461538462
Bushdid,105,106,0.615384615
Bushdid,107,108,0.5
Bushdid,109,110,0.576923077
Bushdid,111,112,0.576923077
Bushdid,113,114,0.461538462
Bushdid,115,116,0.615384615
Bushdid,117,118,0.423076923
Bushdid,119,120,0.538461538
Bushdid,121,122,0.653846154
Bushdid,123,124,0.615384615
Bushdid,125,126,0.576923077
Bushdid,127,128,0.653846154
Bushdid,129,130,0.615384615
Bushdid,131,132,0.730769231
Bushdid,133,134,0.692307692
Bushdid,135,136,0.538461538
Bushdid,137,138,0.692307692
Bushdid,139,140,0.461538462
Bushdid,141,142,0.692307692
Bushdid,143,144,0.538461538
Bushdid,145,146,0.769230769
Bushdid,147,148,0.615384615
Bushdid,149,150,0.5
Bushdid,151,152,0.538461538
Bushdid,153,154,0.615384615
Bushdid,155,156,0.730769231
Bushdid,157,158,0.423076923
Bushdid,159,160,0.615384615
Bushdid,161,162,0.269230769
Bushdid,163,164,0.5
Bushdid,165,166,0.230769231
Bushdid,167,168,0.153846154
Bushdid,169,170,0.5
Bushdid,171,172,0.230769231
Bushdid,173,174,0.384615385
Bushdid,175,176,0.269230769
Bushdid,177,178,0.5
Bushdid,179,180,0.5
Bushdid,181,182,0.269230769
Bushdid,183,184,0.346153846
Bushdid,185,186,0.153846154
Bushdid,187,188,0.307692308
Bushdid,189,190,0.192307692
Bushdid,191,192,0.230769231
Bushdid,193,194,0.461538462
Bushdid,195,196,0.153846154
Bushdid,197,198,0.269230769
Bushdid,199,200,0.423076923
Bushdid,201,202,0.461538462
Bushdid,203,204,0.192307692
Bushdid,205,206,0.384615385
Bushdid,207,208,0.5
Bushdid,209,210,0.461538462
Bushdid,211,212,0.192307692
Bushdid,213,214,0.153846154
Bushdid,215,216,0.307692308
Bushdid,217,218,0.423076923
Bushdid,219,220,0.384615385
Bushdid,221,222,0.538461538
Bushdid,223,224,0.153846154
Bushdid,225,226,0.230769231
Bushdid,227,228,0.576923077
Bushdid,229,230,0.269230769
Bushdid,231,232,0.461538462
Bushdid,233,234,0.5
Bushdid,235,236,0.384615385
Bushdid,237,238,0.423076923
Bushdid,239,240,0.346153846
Bushdid,241,242,0.384615385
Bushdid,243,244,0.461538462
Bushdid,245,246,0.576923077
Bushdid,247,248,0.692307692
Bushdid,249,250,0.346153846
Bushdid,251,252,0.423076923
Bushdid,253,254,0.5
Bushdid,255,256,0.615384615
Bushdid,257,258,0.423076923
Bushdid,259,260,0.692307692
Bushdid,261,262,0.576923077
Bushdid,263,264,0.461538462
Bushdid,265,266,0.5
Bushdid,267,268,0.307692308
Bushdid,269,270,0.230769231
Bushdid,271,272,0.5
Bushdid,273,274,0.423076923
Bushdid,275,276,0.269230769
Bushdid,277,278,0.5
Bushdid,279,280,0.346153846
Bushdid,281,282,0.5
Bushdid,283,284,0.538461538
Bushdid,285,286,0.730769231
Bushdid,287,288,0.5
Bushdid,289,290,0.615384615
Bushdid,291,292,0.692307692
Bushdid,293,294,0.653846154
Bushdid,295,296,0.346153846
Bushdid,297,298,0.346153846
Bushdid,299,300,0.692307692
Bushdid,301,302,0.615384615
Bushdid,303,304,0.346153846
Bushdid,305,306,0.538461538
Bushdid,307,308,0.461538462
Bushdid,309,310,0.5
Bushdid,311,312,0.384615385
Bushdid,313,314,0.576923077
Bushdid,315,316,0.576923077
Bushdid,317,318,0.538461538
Bushdid,319,320,0.384615385
Bushdid,321,322,0.461538462
Bushdid,323,324,0.384615385
Bushdid,325,326,0.461538462
Bushdid,327,328,0.615384615
Bushdid,329,330,0.653846154
Bushdid,331,332,0.692307692
Bushdid,333,334,0.769230769
Bushdid,335,336,0.538461538
Bushdid,337,338,0.846153846
Bushdid,339,340,0.730769231
Bushdid,341,342,0.576923077
Bushdid,343,344,0.538461538
Bushdid,345,346,0.576923077
Bushdid,347,348,0.538461538
Bushdid,349,350,0.461538462
Bushdid,351,352,0.730769231
Bushdid,353,354,0.576923077
Bushdid,355,356,0.730769231
Bushdid,357,358,0.653846154
Bushdid,359,360,0.884615385
Bushdid,361,362,0.461538462
Bushdid,363,364,0.192307692
Bushdid,365,366,0.692307692
Bushdid,367,368,0.307692308
Bushdid,369,370,0.307692308
Bushdid,371,372,0.576923077
Bushdid,373,374,0.153846154
Bushdid,375,376,0.153846154
Bushdid,377,378,0.307692308
Bushdid,379,380,0.807692308
Bushdid,381,382,0.461538462
Bushdid,383,384,0.269230769
Bushdid,385,386,0.153846154
Bushdid,387,388,0.423076923
Bushdid,389,390,0.230769231
Bushdid,391,392,0.230769231
Bushdid,393,394,0.307692308
Bushdid,395,396,0.153846154
Bushdid,397,398,0.307692308
Bushdid,399,400,0.346153846
Bushdid,401,402,0.653846154
Bushdid,403,404,0.307692308
Bushdid,405,406,0.115384615
Bushdid,407,408,0.269230769
Bushdid,409,410,0.461538462
Bushdid,411,412,0.576923077
Bushdid,413,414,0.192307692
Bushdid,415,416,0.307692308
Bushdid,417,418,0.230769231
Bushdid,419,420,0.307692308
Bushdid,421,422,0.692307692
Bushdid,423,424,0.076923077
Bushdid,425,426,0.307692308
Bushdid,427,428,0.5
Bushdid,429,430,0.461538462
Bushdid,431,432,0.423076923
Bushdid,433,434,0.346153846
Bushdid,435,436,0.346153846
Bushdid,437,438,0.230769231
Bushdid,439,440,0.269230769
Bushdid,441,442,0.307692308
Bushdid,443,444,0.346153846
Bushdid,445,446,0.461538462
Bushdid,447,448,0.423076923
Bushdid,449,450,0.461538462
Bushdid,451,452,0.384615385
Bushdid,453,454,0.307692308
Bushdid,455,456,0.5
Bushdid,457,458,0.692307692
Bushdid,459,460,0.269230769
Bushdid,461,462,0.576923077
Bushdid,463,464,0.576923077
Bushdid,465,466,0.346153846
Bushdid,467,468,0.461538462
Bushdid,469,470,0.269230769
Bushdid,471,472,0.576923077
Bushdid,473,474,0.307692308
Bushdid,475,476,0.461538462
Bushdid,477,478,0.5
Bushdid,479,480,0.538461538
Bushdid,481,482,0.730769231
Bushdid,483,484,0.461538462
Bushdid,485,486,0.615384615
Bushdid,487,488,0.807692308
Bushdid,489,490,0.538461538
Bushdid,491,492,0.461538462
Bushdid,493,494,0.538461538
Bushdid,495,496,0.230769231
Bushdid,497,498,0.769230769
Bushdid,499,500,0.461538462
Bushdid,501,502,0.615384615
Bushdid,503,504,0.461538462
Bushdid,505,506,0.269230769
Bushdid,507,508,0.576923077
Bushdid,509,510,0.538461538
Bushdid,511,512,0.653846154
Bushdid,513,514,0.423076923
Bushdid,515,516,0.538461538
Bushdid,517,518,0.384615385
Bushdid,519,520,0.576923077
