Dataset,Mixture Label,smi_0,smi_1,smi_2,smi_3,smi_4,smi_5,smi_6,smi_7,smi_8,smi_9,smi_10,smi_11,smi_12,smi_13,smi_14,smi_15,smi_16,smi_17,smi_18,smi_19,smi_20,smi_21,smi_22,smi_23,smi_24,smi_25,smi_26,smi_27,smi_28,smi_29
Ravia,30,CC(C)C1=CC=C(C=C1)C=O,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CCC1=CC=CC=C1O,CC1=CC2=C(C=C1)N=CC=C2,COC1=CC=CC=C1,CC1=CC=C(C=C1)OC(=O)C(C)C,CCC(=O)OCC,CC(CCCC(C)(C)O)CC=O,CCCCCC1=C(CCC1=O)C,,,,,,,,,,,,,,,,,,,,,
Ravia,31,CC1(C2CCC(O1)(CC2)C)C,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CCC1=CC=CC=C1O,CCCCCCC=O,CCCCCC(=O)O,C/C=C/C1=CC=C(C=C1)OC,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,C[C@@H]1CCO[C@@H](C1)C=C(C)C,CCCC(=O)OCC/C=C\CC,,,,,,,,,,,,,,,,,,,,,
Ravia,32,CCCCO,COC1=C(C=CC(=C1)CC=C)O,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CCCCCCCCCCCCCC(=O)OC(C)C,CCCCCCCC(=O)C,CCCCCC1=C(CCC1=O)C,C1=CC=C(C=C1)/C=C/C=O,C[C@@H]1CCO[C@@H](C1)C=C(C)C,CC/C=C\CCOC(=O)CC,,,,,,,,,,,,,,,,,,,,,
Ravia,33,COC1=C(C=CC(=C1)CC=C)O,CC(C)C1=CC=CC=C1,CCCCCCC=O,CCCCCCCCCCO,CCCCC(=O)OCC,CCCCCCCC(=O)C,CCC(=O)C=CC1=C(CCCC1(C)C)C,C[C@@H]1CCO[C@@H](C1)C=C(C)C,CC/C=C\CCO,CCC/C=C\COC(=O)C,,,,,,,,,,,,,,,,,,,,
Ravia,34,COC1=C(C=CC(=C1)CC=C)O,CCCCCCCCCCO,CC1=CC=C(N1)C,CCCCCCCC(=O)C,CCCCCC1=C(CCC1=O)C,CCCCCC1C(CCC1=O)CC(=O)OC,CC1=CC2CC(C1CC2C(C)C)C3OCCO3,C1=CC=C(C=C1)/C=C/C=O,C[C@@H]1CCO[C@@H](C1)C=C(C)C,CC/C=C\CCOC(=O)CC,,,,,,,,,,,,,,,,,,,,
Ravia,35,CCCCO,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(CCCC(C)(C)O)CC=O,CCCCCCC=O,CCCCCOC(=O)CCC,CCC(=O)C=CC1=C(CCCC1(C)C)C,CCCCCC=CC=CC=C,CCCCCC1=C(CCC1=O)C,CC1=CC[C@@H]2C[C@H]1C2(C)C,CC/C=C\CCO,,,,,,,,,,,,,,,,,,,,
Ravia,36,CC1CCCC2(C1(CCCC2)O)C,CC1(C2CCC(O1)(CC2)C)C,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(C)CCOC(=O)CC1=CC=CC=C1,CC1=CC=C(C=C1)OC(=O)C(C)C,CCCCCCC=O,CCCCCC1=C(CCC1=O)C,C/C=C/C1=CC=C(C=C1)OC,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,C[C@@H]1CCO[C@@H](C1)C=C(C)C,,,,,,,,,,,,,,,,,,,,
Ravia,37,COC1=C(C=CC(=C1)CC=C)O,CC=CC1=CC(=C(C=C1)OC)OC,CC1=CC=C(C=C1)OC,CCCCCOC(=O)CCC,CCCCCCCC(=O)C,CCCCCC1C(CCC1=O)CC(=O)OC,C1=CC=C(C=C1)/C=C/C=O,C[C@@H]1CCO[C@@H](C1)C=C(C)C,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,,,,,,,,,,,,,,,,,,,,,
Ravia,38,C1CC(=O)OC2=CC=CC=C21,COC1=C(C=CC(=C1)CC=C)O,CC=CC1=CC(=C(C=C1)OC)OC,COC1=CC=CC=C1,CC(C)C(=O)OCCC1=CC=CC=C1,CCCCCC1CCC(=O)O1,CC1=CC=C(C=C1)OC(=O)C,CC1=CN=C(C=N1)C,CCC(=O)C=CC1=C(CCCC1(C)C)C,CCCCCC=CC=CC=C,,,,,,,,,,,,,,,,,,,,
Ravia,39,CCCCO,C1CC(=O)OC2=CC=CC=C21,C1=CC=C(C=C1)CC(=O)O,CC1CCCC2(C1(CCCC2)O)C,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(CCC=C(C)C)CCOC(=O)C,CC1=CC[C@@H]2C[C@H]1C2(C)C,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,C/C=C/C1=CC=C(C=C1)OC,CC/C=C\CCOC(=O)CC,,,,,,,,,,,,,,,,,,,,
Ravia,40,CC1CCCC2(C1(CCCC2)O)C,CC1=CC(=O)CC(C1)(C)C,CCC1=CC=CC=C1O,CCCCCC(=O)O,CCCCCOC(=O)CCC,C/C=C/C1=CC=C(C=C1)OC,C[C@@H]1CCO[C@@H](C1)C=C(C)C,C/C=C(\C)/C(=O)OC,CCCC(=O)OCC/C=C\CC,,,,,,,,,,,,,,,,,,,,,
Ravia,41,CC1CCCC2(C1(CCCC2)O)C,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CCC1=CC=CC=C1O,CC(C)CCOC(=O)CC1=CC=CC=C1,CCC(=O)OCC,CCCCC(=O)OCC,CC1=CC[C@H](CC1=O)C(=C)C,CC/C=C/CCO,CCCC(=O)OCC/C=C\CC,CCC/C=C\COC(=O)C,,,,,,,,,,,,,,,,,,,,
Ravia,42,C1CC(=O)OC2=CC=CC=C21,CC(C)CCOC(=O)CC1=CC=CC=C1,CC1=CC=C(C=C1)OC(=O)C(C)C,CCCCCC1CCC(=O)O1,CCCCCCCO,CCCCC(=O)OCC,CC1=CN=C(C=N1)C,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,CCCCCC/C=C/C(=O)C,CC/C=C\CCOC(=O)CC,,,,,,,,,,,,,,,,,,,,
Ravia,43,C1=CC=C(C=C1)CC(=O)O,COC1=C(C=CC(=C1)CC=C)O,CC1=CC2=C(C=C1)N=CC=C2,CC(C)CCOC(=O)CC1=CC=CC=C1,CCCCCCC=O,CC1=CN=C(C=N1)C,CCC(C)(C)C1CCCCC1OC(=O)C,CC1=CC2CC(C1CC2C(C)C)C3OCCO3,C/C=C/C1=CC=C(C=C1)OC,C[C@@H]1CCO[C@@H](C1)C=C(C)C,,,,,,,,,,,,,,,,,,,,
Ravia,44,CCCCO,CC(C)C1=CC=C(C=C1)CO,COC1=C(C=CC(=C1)CC=C)O,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC=CC1=CC(=C(C=C1)OC)OC,CCCCCOC(=O)CCC,CC1=CC2CC(C1CC2C(C)C)C3OCCO3,CC1=CC[C@H](CC1=O)C(=C)C,C/C=C/C1=CC=C(C=C1)OC,CC/C=C\CCO,,,,,,,,,,,,,,,,,,,,
Ravia,45,C1CC(=O)OC2=CC=CC=C21,C1=CC=C(C=C1)CC(=O)O,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,CC(C)C(=O)OCCC1=CC=CC=C1,CCC(=O)OCC,CC(CCC=C(C)C)CCOC(=O)C,CCCCCOC(=O)CCC,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,CCCCCC1C(CCC1=O)CC(=O)OC,CCCC(=O)OCC/C=C\CC,,,,,,,,,,,,,,,,,,,,
Ravia,46,COC1=C(C=CC(=C1)CC=C)O,CC1=CC2=C(C=C1)N=CC=C2,CCCCCCCO,CCCCCC(=O)O,CC1=CC=C(N1)C,CCCCCCCC(=O)C,CCC=C(C)C(=O)O,CCCCCC1=C(CCC1=O)C,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,CCC/C=C\COC(=O)C,,,,,,,,,,,,,,,,,,,,
Ravia,47,CC(C)C[C@@H](C(=O)O)N,CC1=CC(=O)CC(C1)(C)C,CC1=CC2=C(C=C1)N=CC=C2,COC1=CC=CC=C1,C1CCC(CC1)O,CC1=CC[C@H](CC1=O)C(=C)C,C1=CC=C(C=C1)/C=C/C=O,C/C=C(\C)/C(=O)OC,CCCCCC/C=C/C(=O)C,CC/C=C\CCOC(=O)CC,,,,,,,,,,,,,,,,,,,,
Ravia,48,CC1=CC2=C(C=C1)N=CC=C2,CCCCCC(=O)O,CCCCCCCC(=O)C,CCCCCC1=C(CCC1=O)C,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,CCCC(=O)OCC/C=C\CC,CCCCCC/C=C/C(=O)C,CCC/C=C\COC(=O)C,,,,,,,,,,,,,,,,,,,,,
Ravia,49,CC1=CC(=O)CC(C1)(C)C,CC(C)CCOC(=O)CC1=CC=CC=C1,CCC(=O)OCC,CCCCCCC=O,CC1=CC=C(C=C1)OC(=O)C,CCC=C(C)C(=O)O,C1=CC=C(C=C1)/C=C/C=O,C/C=C/C1=CC=C(C=C1)OC,CC(=CCC/C(=C/C=O)/C)C,CCCC(=O)OCC/C=C\CC,,,,,,,,,,,,,,,,,,,,
Ravia,50,CC1=CC2=C(C=C1)N=CC=C2,CC1=CC=C(C=C1)OC(=O)C(C)C,CCCCCCCO,CC1=CN=C(C=N1)C,CCC(=O)C=CC1=C(CCCC1(C)C)C,CCCCCC1=C(CCC1=O)C,CC1=CC2CC(C1CC2C(C)C)C3OCCO3,CC1=CC[C@H](CC1=O)C(=C)C,CC/C=C\CCO,CC/C=C\CCOC(=O)CC,,,,,,,,,,,,,,,,,,,,
Ravia,51,COC1=C(C=CC(=C1)CC=C)O,CC(C)C[C@@H](C(=O)O)N,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC1=CC(=O)CC(C1)(C)C,CCCCCC(=O)O,CCCCCC=CC=CC=C,CCC(C)(C)C1CCCCC1OC(=O)C,CC1C=C(CCC1C=O)C,CCCCCC/C=C/C(=O)C,,,,,,,,,,,,,,,,,,,,,
Ravia,52,COC1=C(C=CC(=C1)CC=C)O,CCC1=CC=CC=C1O,CC(C)CCOC(=O)CC1=CC=CC=C1,CC1=CC=C(C=C1)OC,CCCCCC(=O)O,CC(CCC=C(C)C)CCOC(=O)C,CCCCCOC(=O)CCC,CC1=CN=C(C=N1)C,C[C@@H]1CCO[C@@H](C1)C=C(C)C,,,,,,,,,,,,,,,,,,,,,
Ravia,53,CC1CCCC2(C1(CCCC2)O)C,CC1(C2CCC(O1)(CC2)C)C,CC(C)C[C@@H](C(=O)O)N,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,CC1=CC=C(C=C1)OC(=O)C(C)C,CC1=CC=C(C=C1)OC(=O)C,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,CC/C=C/CCO,C/C=C(\C)/C(=O)OC,CCCCCC/C=C/C(=O)C,,,,,,,,,,,,,,,,,,,,
Ravia,54,CCCCO,CC(C)C1=CC=C(C=C1)C=O,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,CC=CC1=CC(=C(C=C1)OC)OC,CC(C)CCOC(=O)CC1=CC=CC=C1,CC(CCCC(C)(C)O)CC=O,CCCCCCCC(=O)C,CC1C=C(CCC1C=O)C,CC/C=C/CCO,CCC/C=C\COC(=O)C,,,,,,,,,,,,,,,,,,,,
Ravia,55,CC1CCCC2(C1(CCCC2)O)C,CC(CCCC(C)(C)O)CC=O,CCCCCCC=O,CCCCCCCCCCO,CCC1=NC=CN=C1,CCCCCC=CC=CC=C,CC1=CC[C@@H]2C[C@H]1C2(C)C,CC1C=C(CCC1C=O)C,CC1=CC2CC(C1CC2C(C)C)C3OCCO3,CCCCCC/C=C/C(=O)C,,,,,,,,,,,,,,,,,,,,
Ravia,56,CC(C)C1=CC=C(C=C1)C=O,C1=CC=C(C=C1)CC(=O)O,CC1(C2CCC(O1)(CC2)C)C,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,CCCCCCCO,CCCCCCC=O,CC1=CC=C(N1)C,CC1C=C(CCC1C=O)C,CC/C=C\CCO,CCCC(=O)OCC/C=C\CC,,,,,,,,,,,,,,,,,,,,
Ravia,57,C1=CC=C(C=C1)CC(=O)O,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(C)C1=CC=CC=C1,CCCCCC1CCC(=O)O1,CCC(=O)OCC,CCCCCCCCCCO,CC1=CC=C(C=C1)OC(=O)C,CC1=NC=CN=C1C,CC1=CN=C(C=N1)C,C/C=C(\C)/C(=O)OC,,,,,,,,,,,,,,,,,,,,
Ravia,58,CC1(C2CCC(O1)(CC2)C)C,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(C)CCOC(=O)CC1=CC=CC=C1,CC1=CC=C(C=C1)OC(=O)C(C)C,CCC(=O)OCC,CCCCCOC(=O)CCC,CCCCCC1=C(CCC1=O)C,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,CC/C=C\CCO,CC/C=C\CCOC(=O)CC,,,,,,,,,,,,,,,,,,,,
Ravia,59,CC(C)C1=CC=C(C=C1)C=O,CC(C)C(=O)OCCC1=CC=CC=C1,CCCCCC(=O)O,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,CC1C=C(CCC1C=O)C,C1=CC=C(C=C1)/C=C/C=O,C/C=C/C1=CC=C(C=C1)OC,CC(=CCC/C(=C/C=O)/C)C,CCC/C=C\COC(=O)C,CC/C=C\CCOC(=O)CC,,,,,,,,,,,,,,,,,,,,
Ravia,60,CCCCO,CC1(C2CCC(O1)(CC2)C)C,COC1=C(C=CC(=C1)CC=C)O,CC(C)C[C@@H](C(=O)O)N,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,COC1=CC=CC=C1,CCCCCOC(=O)CCC,CC(=CCC/C(=C/C=O)/C)C,CC/C=C\CCO,CCCCCC/C=C/C(=O)C,,,,,,,,,,,,,,,,,,,,
Ravia,61,CCCCO,CC(C)C1=CC=C(C=C1)CO,CC1CCCC2(C1(CCCC2)O)C,COC1=C(C=CC(=C1)CC=C)O,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,CC(C)C1=CC=CC=C1,CC(CCCC(C)(C)O)CC=O,CC1=CC=C(C=C1)OC(=O)C,,,,,,,,,,,,,,,,,,,,,,
Ravia,62,CCCCO,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(C)C1=CC=CC=C1,CC1=CC=C(C=C1)OC,C1CCC(CC1)O,CCC(=O)C=CC1=C(CCCC1(C)C)C,CC1=CC2CC(C1CC2C(C)C)C3OCCO3,C1=CC=C(C=C1)/C=C/C=O,C[C@@H]1CCO[C@@H](C1)C=C(C)C,CC/C=C/CCO,,,,,,,,,,,,,,,,,,,,
Ravia,63,C1=CC=C(C=C1)CC(=O)O,CC(C)C1=CC=CC=C1,CC(C)CCOC(=O)CC1=CC=CC=C1,CCCCCCCO,CCCCCCCCCCO,CC(CCC=C(C)C)CCOC(=O)C,CC1=CN=C(C=N1)C,CCCCCC1=C(CCC1=O)C,CC1C=C(CCC1C=O)C,,,,,,,,,,,,,,,,,,,,,
Ravia,64,CC(C)C1=CC=C(C=C1)C=O,CC(CCCC(C)(C)O)CC=O,CC(CCC=C(C)C)CCOC(=O)C,CCC=C(C)C(=O)O,CCC1=NC=CN=C1,CC1=CN=C(C=N1)C,CCC(C)(C)C1CCCCC1OC(=O)C,CC/C=C/CCO,CCCC(=O)OCC/C=C\CC,CCCCCC/C=C/C(=O)C,,,,,,,,,,,,,,,,,,,,
Ravia,65,CC(C)C1=CC=C(C=C1)CO,C1CC(=O)OC2=CC=CC=C21,CC1CCCC2(C1(CCCC2)O)C,CC(C)C(=O)OCCC1=CC=CC=C1,CC1=CC=C(C=C1)OC,C1CCC(CC1)O,CC1=CC=C(N1)C,CC1=CC2CC(C1CC2C(C)C)C3OCCO3,CC(=CCC/C(=C/C=O)/C)C,CC/C=C\CCO,,,,,,,,,,,,,,,,,,,,
Ravia,66,CC(C)C1=CC=C(C=C1)CO,CC(C)C[C@@H](C(=O)O)N,CC1=CC=C(C=C1)OC,C1CCC(CC1)O,CC1=CC=C(C=C1)OC(=O)C,CSSSC,CC1=CN=C(C=N1)C,CCCCCC=CC=CC=C,CC/C=C\CCOC(=O)CC,,,,,,,,,,,,,,,,,,,,,
Ravia,67,CCCCO,CC1(C2CCC(O1)(CC2)C)C,CCC1=CC=CC=C1O,C1CCC(CC1)O,CCCCCCCCCCO,CCCCCC=CC=CC=C,CCC(C)(C)C1CCCCC1OC(=O)C,CCCCCC1=C(CCC1=O)C,CC(=CCC/C(=C/C=O)/C)C,CCCC(=O)OCC/C=C\CC,,,,,,,,,,,,,,,,,,,,
Ravia,68,CC(C)C1=CC=C(C=C1)CO,CC1CCCC2(C1(CCCC2)O)C,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC=CC1=CC(=C(C=C1)OC)OC,COC1=CC=CC=C1,CCC(=O)OCC,CC1=CC=C(N1)C,CCC1=NC=CN=C1,CC1=CC[C@@H]2C[C@H]1C2(C)C,CC/C=C\CCO,,,,,,,,,,,,,,,,,,,,
Ravia,69,CC(C)C1=CC=C(C=C1)C=O,C1=CC=C(C=C1)CC(=O)O,CC1=CC(=O)CC(C1)(C)C,CC1=CC2=C(C=C1)N=CC=C2,CC(C)C(=O)OCCC1=CC=CC=C1,CCCCCCCCCCCCCC(=O)OC(C)C,CCCCCCCO,CCC=C(C)C(=O)O,CCCCCC1=C(CCC1=O)C,CCCCCC/C=C/C(=O)C,,,,,,,,,,,,,,,,,,,,
