Dataset,Mixture Label,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID
Snitz 1,45,7685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 1,47,7410,7710,7600,62433,5281515,6982,307,7632,22201,31252,19310,7749,3314,6184,7888,61016,16666,7119,91497,18827,7991,6054,6654,7770,8118,8030,6989,7714,5634,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 1,49,7600,62433,7991,6989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 2,1,326,26331,6544,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 2,2,7710,62433,7519,7685,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 2,3,31276,62433,7519,8129,12178,18827,10722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 2,4,62433,8797,2758,3314,8635,61138,6054,6544,10722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 2,6,7519,8148,31252,8103,5281168,6544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 2,7,240,307,7731,2758,12178,62336,8635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 2,8,31276,8148,7762,18827,7714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 2,9,7710,93009,8130,81035281168,7059,8918,7714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 2,10,11002307,7685,12178,4133,7991,6054,7770,7714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 2,12,7410,326,2758,62444,7770,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 2,13,7410,7519,11002,8797,81295281168,6654,8030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 2,14,8797,7731,7966,3314,62336,7059,7991,61138,6054,6544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravia,7,31244,176,180,3776,7363,7150,14286,19310,443158,11552,22386,62336,263,9609,8063,7895,5284503,5318042,638011,637776,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravia,17,7799,1068,6590,1031,7150,61138,8025,19310,6561,7793,11552,12020,263,6276,10448,7895,261,5284503,5318042,638011,637776,8842,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravia,30,7799,1031,176,3776,7793,22386,9609,8063,7895,11173,5318042,638011,31266,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravia,40,7799,1031,176,180,14286,8025,6561,7793,264,11552,12020,22386,263,6584,84682,8063,5284503,5318042,8103,3314,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravia,41,7799,31244,7150,14286,8025,19310,7793,443158,11552,12020,22386,62336,527,84682,8063,6276,10448,7284,5284503,5318042,8103,637566,638011,24915,31266,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravia,44,7799,1068,6590,31244,180,7150,8025,19310,6561,443158,264,12020,527,263,8063,6276,10448,8857,11173,261,5284503,5318042,637566,638011,637776,10890,24915,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravia,51,7799,6590,31244,3776,7363,7150,14286,61138,8025,19310,6561,7793,12020,22386,62336,527,263,6584,8063,10448,8857,11173,637566,638011,637776,24915,31266,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravia,54,180,7363,7150,14286,61138,8025,19310,443158,264,11552,12020,22386,62336,527,9609,6569,84682,8063,6276,10448,7895,11173,261,5318042,8103,637566,638011,10890,24915,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravia,85,31244,180,8025,6561,11552,527,263,6584,84682,6276,8857,11173,261,10890,24915,3314,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravia,95,6590,180,3776,443158,22386,263,9609,1032,84682,7284,11173,10890,3314,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,7,8148,6544,8030,6982,7519,62433,24915,61138,7632,12473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,8,19789253,14100,22386,326,6654,5281168,8103,8091,31276,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,17,5281515,15380,12367,3776,7632,2758,8797,7731,8091,1140,8130,8118,8635,10430,7991,12741,5373603,7165,176,240,798,6654,7410,11124,6448,8048,11509,22386,997,62336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,18,5281515,15380,12367,3776,7632,2758,8797,7731,8091,1140,8130,8118,8635,10430,7991,12741,5373603,7165,176,240,798,6654,7410,11124,6448,8048,11509,22386,997,637511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,19,4133,31265,2969,12020,78605,7410,7731,6561,5281515,1031,7363,7991,12367,7714,2758,8030,61138,31272,62444,22873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,20,4133,31265,2969,12020,78605,11509,8025,8048,22386,7799,6544,6736,8918,8103,22311,8051,180,12473,31249,6501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,21,12473,7632,2758,7799,1060,7583,2879,31249,7519,8118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,22,12473,7632,2758,7799,1060,7583,2879,31249,7519,6736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,29,12348,798,8842,7848,7749,8918,2969,1060,19310,7632,61138,10560,326,62433,8091,454,1140,3314,11002,22311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,30,22201,0,10890,62444,12473,6736,8635,8118,10976,6501,1146,12020,15380,12180,7519,7731,31249,31276,78605,11509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,51,8030,0,261,8635,12020,6184,3314,14100,8842,10890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,52,8030,0,261,12741,1146,22386,7344,5634,62336,78605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,65,62336,460,8103,6054,0,637511,7632,12367,7685,0,12020,14286,12178,264,24915,798,5634,7590,11552,0,6448,10882,6544,637566,1068,12180,240,10722,31249,8918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,66,62336,460,8103,6054,0,637511,7632,12367,7685,0,31272,16666,7966,261,10821,66328,8025,6549,62444,326,176,8148,12348,180,1146,15380,0,31265,454,7583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,119,31276,5283349,8130,6054,7600,22873,7710,0,8148,8797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,120,31276,5283349,8130,7590,1140,22386,24915,1068,7410,12473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,133,7848,4133,8130,8051,22873,7150,31276,264,5373603,62433,11124,14286,240,18827,8892,61138,11002,460,8030,7460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,134,7848,4133,8130,8051,22873,7150,31276,264,5373603,62433,11124,14286,240,18827,8892,61138,11002,460,8030,2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,135,7059,0,637511,16666,14100,31276,11124,6654,8051,31249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,136,7059,0,637511,16666,14100,31276,11124,6654,8051,8148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,139,637566,1146,0,7714,177,6989,5634,2969,10821,1031,11509,8892,62444,0,7848,5373603,2879,12020,12367,14896,7632,8130,22386,7344,798,12180,7583,7519,5283349,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,140,637566,1146,0,7714,177,6989,5634,2969,10821,1031,10882,6448,15380,31272,7410,31244,7731,8797,11124,7966,6561,7991,5281515,8025,997,180,7059,18827,25137858,12473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,167,6501,7632,61138,24915,78605,460,6982,5281168,8892,62444,12178,19310,6184,7059,6448,8048,180,11552,10821,6736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,168,0,7363,7991,8103,0,12232,6544,12741,7731,8842,0,31276,637566,7848,6654,1060,31249,1068,177,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,171,177,78605,1068,7363,7799,7600,12020,6544,11509,8091,7966,0,8048,8103,3314,6549,14286,7749,14100,12741,10890,25137858,2879,12178,7991,22201,8842,2969,240,8635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,172,177,78605,1068,7363,7799,7600,12020,6544,11509,8091,7966,0,8048,8103,3314,6549,14286,7749,14100,12741,10890,25137858,2879,12178,7991,22201,8842,2969,240,6184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,203,8048,0,7600,637566,8797,6549,61016,7150,62433,7165,66328,8635,7590,31265,15380,6448,7966,637511,8025,11509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,204,8048,0,7600,637566,8797,31249,7344,14100,5634,6654,8030,10882,10722,0,5281515,454,11124,5373603,10821,6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,233,62433,8030,8892,10722,31272,261,7460,7583,31276,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,234,62433,8030,8892,176,19310,22386,6549,6448,0,6982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,235,8635,7749,8048,7966,12020,31272,5283349,31244,2758,10821,240,31276,7762,24915,31265,8091,261,326,14100,78605,10890,1146,8051,7460,1031,460,12178,6654,8186,7519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,236,8635,7749,8048,7966,12020,31272,5283349,31244,2758,10821,240,31276,7762,24915,31265,8091,261,326,14100,78605,10890,1146,8051,7460,1031,460,12178,6654,8186,7583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,243,10976,1068,12020,31265,7590,22873,6654,16666,31249,7600,12473,6501,7363,176,7799,78605,66328,5373603,6549,2879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,244,10976,1068,12020,31265,7590,8148,6544,31276,8025,798,8797,62465,1060,7410,10722,7344,1140,2969,11509,12367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,385,240,6054,31265,7714,5283349,12741,8025,6561,7848,637566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,386,240,6054,31265,7714,5283349,12741,1060,11552,22386,7165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,429,637511,6590,12020,6654,62433,8030,12348,264,7363,176,8091,6736,7590,16666,66328,7966,12367,12178,19310,22873,7714,8025,6501,10976,6989,62336,2969,8148,326,7600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,430,637511,6590,12020,6654,62433,8030,12348,264,7363,176,8091,6736,7590,16666,66328,7966,12367,12178,19310,22873,7714,8025,6501,10976,6989,62336,2969,8148,326,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,431,2969,7632,6989,7991,6549,7799,2758,7600,1068,8025,14100,0,12741,8918,326,8051,176,8118,62444,62465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,432,31244,454,7966,62433,18827,7714,19310,10722,7685,61138,8842,15380,12020,264,6561,798,997,12232,0,6184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,455,61138,8118,8635,16666,5281515,7460,261,7714,15380,8030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,456,61138,8118,8635,16666,5281515,7460,7590,6184,22386,8797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,457,22873,176,31276,7600,10882,11002,11552,19789253,798,31272,10430,7685,261,10890,25137858,22201,12348,7991,7731,2758,8186,0,5283349,66328,7165,177,10976,8635,6654,6184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,458,22873,176,31276,7600,10882,11002,11552,19789253,798,31272,6590,10821,61138,454,5373603,1031,7762,8103,10560,8130,8148,22386,11124,6549,8051,1146,7710,6989,6448,6054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,483,1146,7762,6549,31249,7519,62336,5283349,8797,1031,6544,11124,11552,22201,460,22311,180,12178,7150,8025,8148,0,62433,10821,12020,3776,6054,240,7991,15380,8091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,484,1146,7762,6549,31249,7519,62336,5283349,8797,1031,6544,11124,11552,22201,460,22311,180,12178,7150,8025,8148,2879,18827,6590,22873,19789253,14286,8918,19310,78605,637511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,487,62433,12741,2969,8918,78605,7799,1140,6501,7710,31265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,488,6054,12348,22386,31249,264,8842,7762,22311,5283349,31276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,503,4133,5634,31272,15380,8892,7848,5283349,31249,62465,8797,8030,14100,997,8130,25137858,454,7714,1068,12741,22311,8186,10882,7600,7583,7410,10890,6054,10560,0,78605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,504,4133,5634,31272,15380,8892,7848,5283349,31249,62465,8797,8842,8048,14896,10821,8025,19789253,6544,62336,7344,12020,2969,7799,14286,2758,6501,22873,460,12180,1031,6590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,511,7762,12348,66328,3314,8051,176,62433,7799,8842,7632,7583,261,637566,10976,8048,2758,6448,454,7410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bushdid,512,7762,12348,66328,3314,8051,176,62433,7799,8842,7632,7583,261,637566,10976,8048,61138,19789253,5283349,31276,8118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
