Dataset,Mixture 1,Mixture 2,Experimental Values,Category,Idx_DREAM,Difference
Snitz 1,13.0,17.0,0.581730769231,train,41.0,7.689999748095031e-10
Snitz 1,13.0,18.0,0.567307692308,train,42.0,2.3080000133290923e-09
Snitz 1,13.0,19.0,0.822115384615,train,43.0,4.615000048779905e-09
Snitz 1,20.0,14.0,0.711538461538,train,44.0,1.5380000606413091e-09
Snitz 1,20.0,15.0,0.5336538461539999,train,45.0,3.8460000739704014e-09
Snitz 1,20.0,17.0,0.774038461538,train,46.0,1.5380000606413091e-09
Snitz 1,20.0,18.0,0.721153846154,train,47.0,3.845999962948099e-09
Snitz 1,20.0,19.0,0.5336538461539999,train,48.0,3.8460000739704014e-09
Snitz 1,21.0,14.0,0.735576923077,train,49.0,3.0769999881385957e-09
Snitz 1,21.0,15.0,0.711538461538,train,50.0,1.5380000606413091e-09
Snitz 1,21.0,16.0,0.572115384615,train,51.0,4.615000048779905e-09
Snitz 1,21.0,17.0,0.5144230769229999,train,52.0,3.077000099160898e-09
Snitz 1,21.0,18.0,0.5336538461539999,train,53.0,3.8460000739704014e-09
Snitz 1,21.0,19.0,0.682692307692,train,54.0,2.3080000133290923e-09
Snitz 1,22.0,14.0,0.735576923077,train,55.0,3.0769999881385957e-09
Snitz 1,22.0,15.0,0.682692307692,train,56.0,2.3080000133290923e-09
Snitz 1,22.0,16.0,0.451923076923,train,57.0,3.0769999881385957e-09
Snitz 1,22.0,17.0,0.427884615385,train,58.0,4.6149999932687535e-09
Snitz 1,22.0,18.0,0.5,train,59.0,0.0
Snitz 1,22.0,19.0,0.793269230769,train,60.0,7.689999748095031e-10
Snitz 1,23.0,14.0,0.754807692308,train,61.0,2.3080000133290923e-09
Snitz 1,23.0,15.0,0.673076923077,train,62.0,3.0769999881385957e-09
Snitz 1,23.0,16.0,0.5,train,63.0,0.0
Snitz 1,23.0,17.0,0.451923076923,train,64.0,3.0769999881385957e-09
Snitz 1,23.0,18.0,0.418269230769,train,65.0,7.690000303206546e-10
Snitz 1,23.0,19.0,0.778846153846,train,66.0,3.845999962948099e-09
Snitz 1,24.0,14.0,0.778846153846,train,67.0,3.845999962948099e-09
Snitz 1,24.0,15.0,0.701923076923,train,68.0,3.0769999881385957e-09
Snitz 1,24.0,16.0,0.735576923077,train,69.0,3.0769999881385957e-09
Snitz 1,24.0,18.0,0.778846153846,train,70.0,3.845999962948099e-09
Snitz 1,24.0,19.0,0.677884615385,train,71.0,4.615000048779905e-09
Snitz 1,25.0,26.0,0.711538461538,train,72.0,1.5380000606413091e-09
Snitz 1,25.0,27.0,0.721153846154,train,73.0,3.845999962948099e-09
Snitz 1,25.0,28.0,0.629807692308,train,74.0,2.3080000133290923e-09
Snitz 1,25.0,29.0,0.673076923077,train,75.0,3.0769999881385957e-09
Snitz 1,25.0,30.0,0.663461538462,train,76.0,1.5380000606413091e-09
Snitz 1,25.0,31.0,0.6105769230770001,train,77.0,3.077000099160898e-09
Snitz 1,32.0,26.0,0.8125,train,78.0,0.0
Snitz 1,32.0,27.0,0.721153846154,train,79.0,3.845999962948099e-09
Snitz 1,32.0,28.0,0.793269230769,train,80.0,7.689999748095031e-10
Snitz 1,32.0,29.0,0.6105769230770001,train,81.0,3.077000099160898e-09
Snitz 1,32.0,30.0,0.740384615385,train,82.0,4.615000048779905e-09
Snitz 1,32.0,31.0,0.754807692308,train,83.0,2.3080000133290923e-09
Snitz 1,33.0,26.0,0.682692307692,train,84.0,2.3080000133290923e-09
Snitz 1,33.0,27.0,0.615384615385,train,85.0,4.615000048779905e-09
Snitz 1,33.0,28.0,0.735576923077,train,86.0,3.0769999881385957e-09
Snitz 1,33.0,29.0,0.5336538461539999,train,87.0,3.8460000739704014e-09
Snitz 1,33.0,30.0,0.519230769231,train,88.0,7.689999748095031e-10
Snitz 1,33.0,31.0,0.725961538462,train,89.0,1.5380000606413091e-09
Snitz 1,34.0,26.0,0.6586538461539999,train,90.0,3.8460000739704014e-09
Snitz 1,34.0,27.0,0.634615384615,train,91.0,4.615000048779905e-09
Snitz 1,34.0,28.0,0.692307692308,train,92.0,2.3080000133290923e-09
Snitz 1,34.0,29.0,0.524038461538,train,93.0,1.5380000606413091e-09
Snitz 1,34.0,30.0,0.456730769231,train,94.0,7.690000303206546e-10
Snitz 1,34.0,31.0,0.692307692308,train,95.0,2.3080000133290923e-09
Snitz 1,35.0,26.0,0.735576923077,train,96.0,3.0769999881385957e-09
Snitz 1,35.0,27.0,0.6538461538460001,train,97.0,3.8460000739704014e-09
Snitz 1,35.0,28.0,0.673076923077,train,98.0,3.0769999881385957e-09
Snitz 1,35.0,29.0,0.629807692308,train,99.0,2.3080000133290923e-09
Snitz 1,35.0,30.0,0.5144230769229999,train,100.0,3.077000099160898e-09
Snitz 1,35.0,31.0,0.6538461538460001,train,101.0,3.8460000739704014e-09
Snitz 1,36.0,26.0,0.769230769231,train,102.0,7.689999748095031e-10
Snitz 1,36.0,27.0,0.6538461538460001,train,103.0,3.8460000739704014e-09
Snitz 1,36.0,28.0,0.716346153846,train,104.0,3.845999962948099e-09
Snitz 1,36.0,29.0,0.807692307692,train,105.0,2.3080000133290923e-09
Snitz 1,36.0,30.0,0.764423076923,train,106.0,3.0769999881385957e-09
Snitz 1,36.0,31.0,0.826923076923,train,107.0,3.0769999881385957e-09
Snitz 1,37.0,38.0,0.522727272727,train,108.0,2.7270000702017683e-09
Snitz 1,37.0,39.0,0.625,train,109.0,0.0
Snitz 1,37.0,40.0,0.642045454545,train,110.0,4.544999931965776e-09
Snitz 1,37.0,41.0,0.625,train,111.0,0.0
Snitz 1,42.0,39.0,0.528409090909,train,112.0,9.089999863931552e-10
Snitz 1,42.0,40.0,0.539772727273,train,113.0,2.7270000702017683e-09
Snitz 1,42.0,41.0,0.471590909091,train,114.0,9.089999863931552e-10
Snitz 1,43.0,38.0,0.6647727272730001,train,115.0,2.7269999591794662e-09
Snitz 1,43.0,39.0,0.642045454545,train,116.0,4.544999931965776e-09
Snitz 1,43.0,40.0,0.653409090909,train,117.0,9.089999863931552e-10
Snitz 1,43.0,41.0,0.6477272727269999,train,118.0,2.7269999591794662e-09
Snitz 1,43.0,44.0,0.659090909091,train,119.0,9.089999863931552e-10
Snitz 1,43.0,45.0,0.840909090909,train,120.0,9.089999863931552e-10
Snitz 1,43.0,46.0,0.6875,train,121.0,0.0
Snitz 1,47.0,38.0,0.392045454545,train,122.0,4.5449999874769276e-09
Snitz 1,47.0,40.0,0.488636363636,train,123.0,3.6360000010837715e-09
Snitz 1,47.0,44.0,0.6647727272730001,train,124.0,2.7269999591794662e-09
Snitz 1,47.0,45.0,0.7897727272730001,train,125.0,2.7269999591794662e-09
Snitz 1,47.0,46.0,0.619318181818,train,126.0,1.8179999727863103e-09
Snitz 1,48.0,38.0,0.4147727272729999,train,127.0,2.727000014690617e-09
Snitz 1,48.0,39.0,0.443181818182,train,128.0,1.8179999727863103e-09
Snitz 1,48.0,40.0,0.346590909091,train,129.0,9.089999863931552e-10
Snitz 1,48.0,41.0,0.522727272727,train,130.0,2.7270000702017683e-09
Snitz 1,48.0,44.0,0.6761363636359999,train,131.0,3.635999945572621e-09
Snitz 1,48.0,45.0,0.755681818182,train,132.0,1.8179999727863103e-09
Snitz 1,48.0,46.0,0.528409090909,train,133.0,9.089999863931552e-10
Snitz 1,49.0,38.0,0.454545454545,train,134.0,4.5449999874769276e-09
Snitz 1,49.0,39.0,0.619318181818,train,135.0,1.8179999727863103e-09
Snitz 1,49.0,40.0,0.6477272727269999,train,136.0,2.7269999591794662e-09
Snitz 1,49.0,41.0,0.590909090909,train,137.0,9.089999863931552e-10
Snitz 1,49.0,44.0,0.352272727273,train,138.0,2.7269999591794662e-09
Snitz 1,49.0,46.0,0.602272727273,train,139.0,2.7270000702017683e-09
Snitz 2,1.0,2.0,0.571079231723,train,140.0,2.769999785101618e-10
Snitz 2,1.0,3.0,0.617074811147,train,141.0,1.4700007877621601e-10
Snitz 2,1.0,4.0,0.4177945641169999,train,142.0,1.1699996527170242e-10
Snitz 2,1.0,5.0,0.3658236514019999,train,143.0,4.0199993334155687e-10
Snitz 2,1.0,6.0,0.554831352326,train,144.0,3.2600000476890035e-10
Snitz 2,1.0,9.0,0.5312566617710001,train,145.0,2.28999930129703e-10
Snitz 2,1.0,10.0,0.629883689323,train,146.0,3.2299996011175836e-10
Snitz 2,1.0,12.0,0.461249656445,unknown,,
Snitz 2,2.0,3.0,0.521107478702,train,147.0,2.979999580432491e-10
Snitz 2,2.0,5.0,0.431679374009,train,148.0,9.000022949123831e-12
Snitz 2,2.0,6.0,0.688897465761,train,149.0,2.3900004197940916e-10
Snitz 2,2.0,7.0,0.434875160936,train,150.0,6.400002749984424e-11
Snitz 2,2.0,9.0,0.435297988172,train,151.0,1.7200002533357406e-10
Snitz 2,2.0,10.0,0.409498442024,train,152.0,2.3999968679078165e-11
Snitz 2,2.0,14.0,0.353717605163,train,153.0,1.6300000238445023e-10
Snitz 2,3.0,10.0,0.553118620438,train,154.0,4.37999969626901e-10
Snitz 2,3.0,11.0,0.496331653231,train,155.0,2.3100005241971644e-10
Snitz 2,3.0,12.0,0.7065681593229999,train,156.0,3.229998490894559e-10
Snitz 2,3.0,13.0,0.581259277582,train,157.0,4.179999679720936e-10
Snitz 2,3.0,14.0,0.51606532477,train,158.0,2.3000001903028528e-10
Snitz 2,4.0,5.0,0.289236252859,train,159.0,1.4099998946193182e-10
Snitz 2,4.0,8.0,0.483749081521,train,160.0,4.79000006325947e-10
Snitz 2,4.0,11.0,0.5734456254,train,161.0,4.000000330961484e-10
Snitz 2,4.0,13.0,0.622244157273,train,162.0,2.729999559747397e-10
Snitz 2,4.0,14.0,0.369436835857,train,163.0,1.4300000072964278e-10
Snitz 2,5.0,3.0,0.403165774163,train,164.0,1.6300000238445023e-10
Snitz 2,5.0,6.0,0.7026789188179999,train,165.0,1.82000081672129e-10
Snitz 2,5.0,7.0,0.37768018825,train,166.0,2.5000002068509275e-10
Snitz 2,5.0,8.0,0.5235729174229999,train,167.0,4.2299996838579535e-10
Snitz 2,5.0,10.0,0.524793970672,train,168.0,3.2800007154776267e-10
Snitz 2,5.0,11.0,0.4444521652729999,train,169.0,2.729999559747397e-10
Snitz 2,5.0,13.0,0.623722765999,train,170.0,9.999778782798785e-13
Snitz 2,5.0,14.0,0.434726288431,train,171.0,4.309999579454882e-10
Snitz 2,6.0,3.0,0.6489053254640001,train,172.0,5.359998000997732e-10
Snitz 2,6.0,4.0,0.718496654047,train,173.0,4.7000070502178914e-11
Snitz 2,6.0,9.0,0.72206056699,train,174.0,1.000000082740371e-11
Snitz 2,6.0,10.0,0.715333918881,train,175.0,1.1900003205056464e-10
Snitz 2,6.0,11.0,0.621787879739,train,176.0,2.6099999939077634e-10
Snitz 2,7.0,1.0,0.641323934974,train,177.0,2.599997994678916e-11
Snitz 2,7.0,3.0,0.464489508844,train,178.0,1.560000462141886e-10
Snitz 2,7.0,4.0,0.3853885318719999,train,179.0,1.2800005499968847e-10
Snitz 2,7.0,8.0,0.611684523341,train,180.0,3.41000006010006e-10
Snitz 2,7.0,9.0,0.417438229554,train,181.0,4.4600001469774487e-10
Snitz 2,7.0,10.0,0.499030846958,train,182.0,4.200001457732583e-11
Snitz 2,7.0,11.0,0.3440290832789999,train,183.0,2.7899993426672154e-10
Snitz 2,8.0,2.0,0.548093474812,train,184.0,1.8800005996411078e-10
Snitz 2,8.0,3.0,0.49394373533,train,185.0,3.3000002730432243e-10
Snitz 2,8.0,6.0,0.699666352285,train,186.0,2.8499991255870327e-10
Snitz 2,8.0,9.0,0.441539563561,train,187.0,4.390000030163321e-10
Snitz 2,8.0,10.0,0.537752535482,train,188.0,5.179999762461307e-10
Snitz 2,8.0,12.0,0.750056230114,train,189.0,1.1400003163686279e-10
Snitz 2,8.0,13.0,0.7664386606120001,train,190.0,3.8799996548988247e-10
Snitz 2,8.0,14.0,0.617900830068,train,191.0,6.800005003526621e-11
Snitz 2,9.0,3.0,0.508135923166,train,192.0,1.659999915304411e-10
Snitz 2,9.0,4.0,0.414009563554,train,193.0,4.4600001469774487e-10
Snitz 2,9.0,5.0,0.381566352286,train,194.0,2.8600000145928556e-10
Snitz 2,9.0,11.0,0.309007511603,train,195.0,3.9699993292785507e-10
Snitz 2,9.0,12.0,0.699182921034,train,196.0,3.4000025017633106e-11
Snitz 2,9.0,13.0,0.582958927031,train,197.0,3.100009138279347e-11
Snitz 2,10.0,4.0,0.39958602052,train,198.0,4.799999842042266e-10
Snitz 2,10.0,9.0,0.483212534823,train,199.0,1.7699997023612468e-10
Snitz 2,10.0,11.0,0.540210831471,train,200.0,5.289999549518143e-10
Snitz 2,11.0,1.0,0.379850966507,train,201.0,4.929999741776212e-10
Snitz 2,11.0,2.0,0.478150494948,unknown,,
Snitz 2,11.0,8.0,0.519923764987,train,202.0,1.3000045484545808e-11
Snitz 2,11.0,12.0,0.6520602663049999,train,203.0,3.049999142135107e-10
Snitz 2,11.0,13.0,0.495553599932,train,204.0,6.799999452411498e-11
Snitz 2,12.0,2.0,0.6715115809240001,train,205.0,7.599987306150524e-11
Snitz 2,12.0,4.0,0.724689658149,train,206.0,1.4900003453277575e-10
Snitz 2,12.0,5.0,0.7077355367389999,train,207.0,2.610001104130788e-10
Snitz 2,12.0,6.0,0.640651636661,train,208.0,3.3900005025344616e-10
Snitz 2,12.0,7.0,0.661498482412,train,209.0,4.1199998968011187e-10
Snitz 2,12.0,13.0,0.633933961809,train,210.0,1.909999935989504e-10
Snitz 2,13.0,1.0,0.549520134298,train,211.0,2.979999580432491e-10
Snitz 2,13.0,2.0,0.5669438248409999,train,212.0,1.5900003536017948e-10
Snitz 2,13.0,6.0,0.599266027211,train,213.0,2.109999952537578e-10
Snitz 2,13.0,10.0,0.60948957323,train,214.0,2.3000001903028528e-10
Snitz 2,14.0,1.0,0.6566531500899999,train,215.0,8.999989642433093e-11
Snitz 2,14.0,6.0,0.6631651871529999,train,216.0,1.5299983502359282e-10
Snitz 2,14.0,7.0,0.331985460051,train,217.0,5.099998201529843e-11
Snitz 2,14.0,10.0,0.3470937926889999,train,218.0,3.1100005903894607e-10
Snitz 2,14.0,11.0,0.374876806217,train,219.0,2.1700002905689075e-10
Snitz 2,14.0,13.0,0.595095117069,train,220.0,6.900002791354609e-11
Ravia,1.0,11.0,0.75,train,221.0,0.0
Ravia,2.0,12.0,0.5892857142857143,train,222.0,1.4285714285744431e-05
Ravia,3.0,13.0,0.5,train,223.0,0.0
Ravia,4.0,14.0,0.5,train,224.0,0.0
Ravia,5.0,15.0,0.6607142857142857,train,225.0,1.4285714285744431e-05
Ravia,6.0,16.0,0.5178571428571429,train,226.0,4.285714285712228e-05
Ravia,8.0,18.0,0.4821428571428571,train,227.0,4.285714285717779e-05
Ravia,9.0,19.0,0.375,train,228.0,0.0
Ravia,10.0,20.0,0.75,train,229.0,0.0
Ravia,21.0,31.0,0.5892857142857143,train,230.0,1.4285714285744431e-05
Ravia,22.0,32.0,0.9107142857142856,train,231.0,1.4285714285744431e-05
Ravia,23.0,33.0,0.4821428571428571,train,232.0,4.285714285717779e-05
Ravia,24.0,34.0,0.7321428571428571,train,233.0,4.285714285712228e-05
Ravia,25.0,35.0,0.4642857142857143,train,234.0,1.4285714285688922e-05
Ravia,26.0,36.0,0.7142857142857143,train,235.0,1.4285714285744431e-05
Ravia,27.0,37.0,0.5,train,236.0,0.0
Ravia,28.0,38.0,0.6071428571428571,train,237.0,4.285714285712228e-05
Ravia,29.0,39.0,0.5892857142857143,train,238.0,1.4285714285744431e-05
Ravia,42.0,52.0,0.5,train,239.0,0.0
Ravia,43.0,53.0,0.3958333333333333,train,240.0,3.333333333332966e-05
Ravia,45.0,55.0,0.3541666666666667,train,241.0,3.333333333332966e-05
Ravia,46.0,56.0,0.5208333333333334,train,242.0,3.333333333332966e-05
Ravia,47.0,57.0,0.5,train,243.0,0.0
Ravia,48.0,58.0,0.3541666666666667,train,244.0,3.333333333332966e-05
Ravia,49.0,59.0,0.3125,train,245.0,0.0
Ravia,50.0,60.0,0.3958333333333333,train,246.0,3.333333333332966e-05
Ravia,61.0,71.0,0.6666666666666666,train,247.0,3.333333333332966e-05
Ravia,62.0,72.0,0.5416666666666666,train,248.0,3.333333333332966e-05
Ravia,63.0,73.0,0.6041666666666666,train,249.0,3.333333333332966e-05
Ravia,64.0,74.0,0.4583333333333333,train,250.0,3.333333333332966e-05
Ravia,65.0,75.0,0.6458333333333334,train,251.0,3.333333333332966e-05
Ravia,66.0,76.0,0.7291666666666666,train,252.0,3.333333333332966e-05
Ravia,67.0,77.0,0.6458333333333334,train,253.0,3.333333333332966e-05
Ravia,68.0,78.0,0.6666666666666666,train,254.0,3.333333333332966e-05
Ravia,69.0,79.0,0.6041666666666666,train,255.0,3.333333333332966e-05
Ravia,70.0,80.0,0.7708333333333334,train,256.0,3.333333333332966e-05
Ravia,81.0,91.0,0.4375,train,257.0,0.0
Ravia,82.0,92.0,0.359375,train,258.0,2.4999999999997247e-05
Ravia,83.0,93.0,0.46875,train,259.0,4.999999999999449e-05
Ravia,84.0,94.0,0.46875,train,260.0,4.999999999999449e-05
Ravia,86.0,96.0,0.40625,train,261.0,4.999999999999449e-05
Ravia,87.0,97.0,0.390625,train,262.0,2.4999999999997247e-05
Ravia,88.0,98.0,0.421875,train,263.0,2.4999999999997247e-05
Ravia,89.0,99.0,0.421875,train,264.0,2.4999999999997247e-05
Ravia,90.0,100.0,0.46875,train,265.0,4.999999999999449e-05
Ravia,121.0,123.0,0.6152272727,unknown,,
Ravia,121.0,128.0,0.5515909091000001,unknown,,
Ravia,121.0,131.0,0.6897727272999999,unknown,,
Ravia,122.0,125.0,0.59,unknown,,
Ravia,122.0,127.0,0.3481818182,unknown,,
Ravia,122.0,128.0,0.4979545455,unknown,,
Ravia,123.0,122.0,0.5334090909,unknown,,
Ravia,123.0,125.0,0.4725,unknown,,
Ravia,124.0,123.0,0.5725,unknown,,
Ravia,124.0,129.0,0.5479545455,unknown,,
Ravia,125.0,127.0,0.5956818182,unknown,,
Ravia,125.0,130.0,0.5875,unknown,,
Ravia,125.0,134.0,0.5302272726999999,unknown,,
Ravia,126.0,122.0,0.8334090908999999,unknown,,
Ravia,126.0,123.0,0.7136363636,unknown,,
Ravia,126.0,125.0,0.7220454545,unknown,,
Ravia,126.0,130.0,0.6293181818,unknown,,
Ravia,127.0,121.0,0.7009090909,unknown,,
Ravia,127.0,124.0,0.5306818182,unknown,,
Ravia,128.0,126.0,0.7981818182000001,unknown,,
Ravia,128.0,132.0,0.6281818182,unknown,,
Ravia,128.0,131.0,0.5331818182,unknown,,
Ravia,128.0,130.0,0.6252272727,unknown,,
Ravia,129.0,122.0,0.4152272727,unknown,,
Ravia,129.0,126.0,0.7715909091,unknown,,
Ravia,129.0,128.0,0.5209090908999999,unknown,,
Ravia,129.0,133.0,0.5556818182,unknown,,
Ravia,132.0,121.0,0.6759090909,unknown,,
Ravia,132.0,123.0,0.6131818182,unknown,,
Ravia,132.0,125.0,0.6470454545,unknown,,
Ravia,131.0,122.0,0.4536363636,unknown,,
Ravia,131.0,124.0,0.6309090908999999,unknown,,
Ravia,131.0,132.0,0.7377272727,unknown,,
Ravia,131.0,134.0,0.4645454544999999,unknown,,
Ravia,130.0,129.0,0.5859090909,unknown,,
Ravia,130.0,131.0,0.6425,unknown,,
Ravia,133.0,121.0,0.6795454544999999,unknown,,
Ravia,133.0,125.0,0.6765909091000001,unknown,,
Ravia,133.0,127.0,0.3870454545,unknown,,
Ravia,133.0,132.0,0.6747727273000002,unknown,,
Ravia,133.0,130.0,0.6911363636,unknown,,
Ravia,134.0,121.0,0.6102272727,unknown,,
Ravia,134.0,123.0,0.5311363636,unknown,,
Ravia,134.0,124.0,0.4984090908999999,unknown,,
Ravia,134.0,126.0,0.8034090909,unknown,,
Ravia,134.0,132.0,0.6522727273000001,unknown,,
Ravia,121.0,131.0,0.7195454545,unknown,,
Ravia,121.0,132.0,0.7790909091,unknown,,
Ravia,121.0,122.0,0.4095454544999999,unknown,,
Ravia,121.0,124.0,0.7454545455,unknown,,
Ravia,121.0,125.0,0.6477272726999999,unknown,,
Ravia,121.0,126.0,0.6434090909,unknown,,
Ravia,122.0,129.0,0.3940909091,unknown,,
Ravia,122.0,130.0,0.7459090909,unknown,,
Ravia,122.0,124.0,0.7034090908999999,unknown,,
Ravia,122.0,132.0,0.4222727273,unknown,,
Ravia,122.0,130.0,0.395,unknown,,
Ravia,123.0,133.0,0.5359090908999999,unknown,,
Ravia,123.0,134.0,0.4856818182,unknown,,
Ravia,123.0,127.0,0.5075,unknown,,
Ravia,123.0,128.0,0.5043181818,unknown,,
Ravia,123.0,129.0,0.6495454545,unknown,,
Ravia,123.0,131.0,0.3963636364,unknown,,
Ravia,124.0,130.0,0.6684090909,unknown,,
Ravia,124.0,133.0,0.7927272727000001,unknown,,
Ravia,124.0,125.0,0.5131818182,unknown,,
Ravia,124.0,126.0,0.6675,unknown,,
Ravia,124.0,128.0,0.6502272726999999,unknown,,
Ravia,124.0,132.0,0.5697727273000001,unknown,,
Ravia,125.0,130.0,0.5736363636,unknown,,
Ravia,125.0,133.0,0.6256818182,unknown,,
Ravia,125.0,128.0,0.685,unknown,,
Ravia,126.0,129.0,0.8372727272999999,unknown,,
Ravia,126.0,131.0,0.6352272727,unknown,,
Ravia,126.0,127.0,0.8495454545,unknown,,
Ravia,126.0,132.0,0.8188636364,unknown,,
Ravia,127.0,131.0,0.4368181818,unknown,,
Ravia,127.0,133.0,0.4779545455,unknown,,
Ravia,127.0,128.0,0.6840909091,unknown,,
Ravia,127.0,129.0,0.3329545455,unknown,,
Ravia,127.0,132.0,0.6681818182000001,unknown,,
Ravia,127.0,131.0,0.4334090908999999,unknown,,
Ravia,128.0,130.0,0.4331818182,unknown,,
Ravia,128.0,134.0,0.4270454545,unknown,,
Ravia,129.0,133.0,0.7368181817999999,unknown,,
Ravia,129.0,134.0,0.5465909091000001,unknown,,
Ravia,129.0,132.0,0.2275,unknown,,
Ravia,132.0,131.0,0.3061363636,unknown,,
Ravia,131.0,134.0,0.2759090909,unknown,,
Ravia,133.0,134.0,0.2554545455,unknown,,
Ravia,135.0,137.0,0.6653999999999999,unknown,,
Ravia,135.0,142.0,0.644,unknown,,
Ravia,135.0,145.0,0.5905,unknown,,
Ravia,136.0,139.0,0.7491,unknown,,
Ravia,136.0,141.0,0.7303999999999999,unknown,,
Ravia,136.0,142.0,0.6204999999999999,unknown,,
Ravia,137.0,136.0,0.6769,unknown,,
Ravia,137.0,139.0,0.4322,unknown,,
Ravia,138.0,137.0,0.6790999999999999,unknown,,
Ravia,138.0,143.0,0.6743000000000001,unknown,,
Ravia,139.0,141.0,0.3867,unknown,,
Ravia,139.0,144.0,0.4804,unknown,,
Ravia,139.0,148.0,0.5720000000000001,unknown,,
Ravia,140.0,136.0,0.4817,unknown,,
Ravia,140.0,137.0,0.6019,unknown,,
Ravia,140.0,139.0,0.6728000000000001,unknown,,
Ravia,140.0,144.0,0.5670000000000001,unknown,,
Ravia,141.0,135.0,0.6644,unknown,,
Ravia,141.0,138.0,0.6809999999999999,unknown,,
Ravia,142.0,140.0,0.5494,unknown,,
Ravia,142.0,146.0,0.5737,unknown,,
Ravia,142.0,145.0,0.4342,unknown,,
Ravia,142.0,144.0,0.5018,unknown,,
Ravia,143.0,136.0,0.3752,unknown,,
Ravia,143.0,140.0,0.4897999999999999,unknown,,
Ravia,143.0,142.0,0.4797999999999999,unknown,,
Ravia,143.0,147.0,0.5903,unknown,,
Ravia,146.0,135.0,0.7618,unknown,,
Ravia,146.0,137.0,0.5292,unknown,,
Ravia,146.0,139.0,0.5235,unknown,,
Ravia,145.0,136.0,0.7156999999999999,unknown,,
Ravia,145.0,138.0,0.7062999999999999,unknown,,
Ravia,145.0,146.0,0.4772999999999999,unknown,,
Ravia,145.0,148.0,0.455,unknown,,
Ravia,144.0,143.0,0.6539,unknown,,
Ravia,144.0,145.0,0.4739,unknown,,
Ravia,147.0,135.0,0.7542,unknown,,
Ravia,147.0,139.0,0.3202,unknown,,
Ravia,147.0,141.0,0.3809,unknown,,
Ravia,147.0,146.0,0.3728,unknown,,
Ravia,147.0,144.0,0.4985,unknown,,
Ravia,148.0,135.0,0.6628000000000001,unknown,,
Ravia,148.0,137.0,0.5667,unknown,,
Ravia,148.0,138.0,0.7062,unknown,,
Ravia,148.0,140.0,0.5375,unknown,,
Ravia,148.0,146.0,0.5134000000000001,unknown,,
