Dataset,CID,IsomericSMILES
Snitz,5862,C([C@@H](C(=O)O)N)S
Snitz,5950,C[C@@H](C(=O)O)N
Snitz,5971,C=CCN=C=S
Snitz,6022,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N
Snitz,6027,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O
Snitz,6050,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
Snitz,6054,C1=CC=C(C=C1)CCO
Snitz,6057,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
Snitz,6106,CC(C)C[C@@H](C(=O)O)N
Snitz,6137,CSCC[C@@H](C(=O)O)N
Snitz,6184,CCCCCC=O
Snitz,6276,CCCCCO
Snitz,6374,C(I)(I)I
Snitz,6425,CC(C)(C(C)(C)O)O
Snitz,6448,CC(=O)OC1CC2CCC1(C2(C)C)C
Snitz,6482,C[C@@H]1CC[C@@H]2C13CCC(C(C3)C2(C)C)(C)OC(=O)C
Snitz,6501,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2
Snitz,6506,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O
Snitz,6532,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C
Snitz,6533,CC(=CCCC(C)(C=C)OC(=O)C=CC1=CC=CC=C1)C
Snitz,6544,CC1=CC(=O)CC(C1)(C)C
Snitz,6548,CCC(C)(CCCC(C)C)O
Snitz,6549,CC(=CCCC(C)(C=C)O)C
Snitz,6561,CC(C)C=O
Snitz,6569,CCC(=O)C
Snitz,6584,CC(=O)OC
Snitz,6590,CC(C)C(=O)O
Snitz,6609,CC1CC=C(C(C1(C)C)C=CC(=O)C)C
Snitz,6612,CC1=CCCC(C1C=CC(=O)CCC=C)(C)C
Snitz,6631,CC1CCC(CC1)C(C)(C)OC(=O)C
Snitz,6652,CC(CC=O)C1=CC=C(C=C1)C(C)(C)C
Snitz,6654,CC1=CCC2CC1C2(C)C
Snitz,6656,CC=C(C)C(=O)O
Snitz,6660,CC1=C(C(=O)CC1)O
Snitz,6736,CC1=CNC2=CC=CC=C12
Snitz,6753,CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-]
Snitz,6826,CNC1=CC=CC=C1C(=O)OC
Snitz,6835,COC1=CC=CC=C1C2=CC=CC=C2
Snitz,6873,CC(C)COC(=O)C1=CC=CC=C1O
Snitz,6874,CC(C)CCOC(=O)C1=CC=CC=C1O
Snitz,6877,CCOC(=O)C1=CC=CC=C1N
Snitz,6881,C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2N
Snitz,6887,CC1=CCCC(=C)[C@H]2CC([C@@H]2CC1)(C)C
Snitz,6915,CCC(CC)C(=O)O
Snitz,6920,CC(=O)C1=CC=CS1
Snitz,6930,CCC1=CC2=C(C=C1C(=O)C)C(CCC2(C)C)(C)C
Snitz,6943,CC(C)C1=CC=CC=C1O
Snitz,6949,CC1CCC(=C(C)C)CC2=C1CCC2C
Snitz,6981,C([C@H]([C@@H]1C(=O)C(=C(O1)O)O)O)O
Snitz,6982,CC1=CC(=C(C=C1Cl)C(C)C)O
Snitz,6985,CC1=CC(=C(C=C1)C(=O)C)C
Snitz,6986,CC1CCC(C(=O)C1)C(C)C
Snitz,6987,CC1=CC(=O)C(CC1)C(C)C
Snitz,6988,CC1CCC(=C(C)C)C(=O)C1
Snitz,6989,CC1=CC(=C(C=C1)C(C)C)O
Snitz,6998,C1=CC=C(C(=C1)C=O)O
Snitz,7002,CC1=CC=CC2=CC=CC=C12
Snitz,7007,CC(=O)OC(C1=CC=CC=C1)C(Cl)(Cl)Cl
Snitz,7016,C1CCC(CC1)C2CCCCC2=O
Snitz,7037,C1=CC=C(C=C1)C(C2=CC=CC=C2)O
Snitz,7041,COC1=C(C(=CC=C1)OC)O
Snitz,7043,COC1=CC=CC=C1OC
Snitz,7044,C1CCC2CCCCC2C1
Snitz,7047,C1=CC=C2C(=C1)C=CC=N2
Snitz,7059,CC1=CC2=C(C=C1)N=CC=C2
Snitz,7092,CC1=CC2=C(C=C1)OC(=O)C=C2
Snitz,7095,C1=CC=C(C=C1)C2=CC=CC=C2
Snitz,7119,COC1=CC2=CC=CC=C2C=C1
Snitz,7122,CC(=O)C1=CC2=CC=CC=C2C=C1
Snitz,7127,COC1=C(C=C(C=C1)CC=C)OC
Snitz,7128,CC=CC1=CC(=C(C=C1)OC)OC
Snitz,7129,CCOC1=CC2=CC=CC=C2C=C1
Snitz,7136,CC(=O)OC1=C(C=C(C=C1)CC=C)OC
Snitz,7137,CC=CC1=CC(=C(C=C1)OC(=O)C)OC
Snitz,7144,CC1=CC(=C(C=C1)O)OC
Snitz,7146,CC(C=O)C1=CC=CC=C1
Snitz,7147,CCC(C1=CC=CC=C1)O
Snitz,7148,CCC(=O)C1=CC=CC=C1
Snitz,7150,COC(=O)C1=CC=CC=C1
Snitz,7151,COC(=O)C1=CN=CC=C1
Snitz,7165,CCOC(=O)C1=CC=CC=C1
Snitz,7170,CCOC(=O)CC(=O)C1=CC=CC=C1
Snitz,7184,CCCCOC(=O)C1=CC=C(C=C1)O
Snitz,7193,CC(C)CCOC(=O)C1=CC=CC=C1
Snitz,7194,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2
Snitz,7197,CCCC1=CC2=C(C=C1)OCO2
Snitz,7222,C1=CC=C2C(=C1)N=CS2
Snitz,7249,CC1=C(C=C(C=C1)O)C
Snitz,7267,CC1=CC(=C(C=C1)C)O
Snitz,7284,CCC(C)C=O
Snitz,7288,CCC(=O)CC
Snitz,7302,C1CC(=O)OC1
Snitz,7335,CC1=CCC(CC1OC(=O)C)C(=C)C
Snitz,7336,CCC(=O)OC1CC(CC=C1C)C(=C)C
Snitz,7338,CC=CC1=CC(=C(C=C1)O)OC
Snitz,7341,CCCC(C)C(=O)O
Snitz,7342,CCOC(=O)C(C)C
Snitz,7344,CCOC(=O)C(C)O
Snitz,7351,CC(C)COC(=O)C(C)C
Snitz,7353,CCCCOC(=O)C(C)C
Snitz,7359,CCC(CC)C=O
Snitz,7360,C1CC(OC1)CO
Snitz,7361,C1=COC(=C1)CO
Snitz,7362,C1=COC(=C1)C=O
Snitz,7363,C1=COC(=C1)CS
Snitz,7391,CC(C)(C)C1CCC(CC1)O
Snitz,7392,CC(C)(C)C1CCC(=O)CC1
Snitz,7393,CC(C)(C)C1=CC=C(C=C1)O
Snitz,7409,CC(C1=CC=CC=C1)O
Snitz,7410,CC(=O)C1=CC=CC=C1
Snitz,7413,C1CCC(CC1)C(=O)O
Snitz,7438,CC1=CCC(CC1O)C(=C)C
Snitz,7439,CC1=CCC(CC1=O)C(=C)C
Snitz,7455,CC1=CC=C(C=C1)C(=O)OC
Snitz,7456,COC(=O)C1=CC=C(C=C1)O
Snitz,7460,CC1=CCC(C=C1)C(C)C
Snitz,7461,CC1=CCC(=CC1)C(C)C
Snitz,7462,CC1=CC=C(CC1)C(C)C
Snitz,7463,CC1=CC=C(C=C1)C(C)C
Snitz,7476,CC(=O)C1=CC=C(C=C1)OC
Snitz,7478,COC1=CC=C(C=C1)C(=O)O
Snitz,7500,CCC1=CC=CC=C1
Snitz,7501,C=CC1=CC=CC=C1
Snitz,7505,C1=CC=C(C=C1)C#N
Snitz,7509,C1=CC=C(C=C1)CS
Snitz,7519,COC1=CC=CC=C1
Snitz,7531,CC(C)(CC1=CC=CC=C1)O
Snitz,7557,CC(=CC1=CC=CC=C1)C=O
Snitz,7559,COC(=O)CC1=CC=CC=C1
Snitz,7580,C1=CC=C(C=C1)CC2=CC=CC=C2
Snitz,7583,C1=CC=C(C=C1)OC2=CC=CC=C2
Snitz,7584,CCCCCC(=CC1=CC=CC=C1)CO
Snitz,7585,CCCCCCC(=CC1=CC=CC=C1)C=O
Snitz,7590,CCOC(=O)CC1=CC=CC=C1
Snitz,7593,C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2
Snitz,7599,COC1=CC=C(C=C1)COC(=O)CC2=CC=CC=C2
Snitz,7600,CC(C)CCOC(=O)CC1=CC=CC=C1
Snitz,7601,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2
Snitz,7614,CC(C)CC(CC=C(C)C)OCC=O
Snitz,7632,CC(C)(CCC1=CC=CC=C1)O
Snitz,7633,CC(=O)OC(C)(C)CCC1=CC=CC=C1
Snitz,7635,CCCCC(CC)COC(=O)C
Snitz,7643,COC(=O)CCC1=CC=CC=C1
Snitz,7644,COC(=O)C=CC1=CC=CC=C1
Snitz,7646,CC(C)C(=O)OCC1=CC=CC=C1
Snitz,7647,C1=CC=C(C=C1)CCC2=CC=CC=C2
Snitz,7649,CCOC(=O)C=CC1=CC=CC=C1
Snitz,7650,CCCC(=O)OCC1=CC=CC=C1
Snitz,7651,CC(C)CC(=O)OCC1=CC=CC=C1
Snitz,7652,C1=CC=C(C=C1)COC(=O)C=CC2=CC=CC=C2
Snitz,7654,CC(=O)OCCC1=CC=CC=C1
Snitz,7655,CC(C)C(=O)OCCC1=CC=CC=C1
Snitz,7657,C1=CC=C(C=C1)COCC2=CC=CC=C2
Snitz,7658,CCCC(=O)OCCC1=CC=CC=C1
Snitz,7659,C1=CC=C(C=C1)CCOC(=O)C=CC2=CC=CC=C2
Snitz,7660,CC(=O)OCC=CC1=CC=CC=C1
Snitz,7661,CCC(=O)OCC=CC1=CC=CC=C1
Snitz,7662,CC(C)C(=O)OCCCC1=CC=CC=C1
Snitz,7663,CC(C)C(=O)OCC=CC1=CC=CC=C1
Snitz,7664,CCCC(=O)OCC=CC1=CC=CC=C1
Snitz,7667,C1=CC=C(C=C1)C=CBr
Snitz,7685,CC1=CC=C(C=C1)OC(=O)C(C)C
Snitz,7687,CC(C)C1=CC=C(C=C1)C(C)CC=O
Snitz,7695,CC(=O)OCC1=CC=C(C=C1)OC
Snitz,7703,CC=CC1=CC=C(C=C1)OC
Snitz,7704,CCCCC1CCC(=O)O1
Snitz,7707,C1=CC=C(C=C1)CCC=O
Snitz,7708,C1=CC=C(C=C1)COC=O
Snitz,7710,CCCCCC1CCC(=O)O1
Snitz,7711,C1=CC=C(C=C1)CCOC=O
Snitz,7712,C1=CC=C(C=C1)C=CCOC=O
Snitz,7714,CCCCCCCC1CCC(=O)O1
Snitz,7720,CCCCC(CC)CO
Snitz,7728,CCC1=CN=C(C=C1)C
Snitz,7731,CC1=CC=C(C=C1)OC
Snitz,7733,CC(C)COC(=O)CCC1=CC=CO1
Snitz,7738,COC1=CC=C(C=C1)CO
Snitz,7742,CCCC1CCC(=O)O1
Snitz,7749,CCC(=O)OCC
Snitz,7761,CCOC(=O)CC(=O)OCC
Snitz,7762,CCCC(=O)OCC
Snitz,7765,CCOC(C)OCC
Snitz,7770,CCCC(=O)OCCC
Snitz,7771,CC1=CC(=C(C=C1)O)C
Snitz,7772,CCC(=O)OCCC(C)C
Snitz,7775,CCCCCC(=O)OCC(C)C
Snitz,7778,CC(CCC=C(C)C)CCOC=O
Snitz,7779,CC(=CCCC(=CCOC=O)C)C
Snitz,7780,CC(=CCCC(=CCOC(=O)C)C)C
Snitz,7781,CCC(=O)OCCC(C)CCCC(=C)C
Snitz,7782,CCC(=O)OCC=C(C)CCC=C(C)C
Snitz,7785,CCCCCCCCCCCC1CCC(=O)O1
Snitz,7792,CC(C)CCCC(C)CCO
Snitz,7793,C[C@@H](CCC=C(C)C)CCO
Snitz,7794,CC(CCC=C(C)C)CC=O
Snitz,7795,CCCC(=O)OCCC(C)C
Snitz,7796,CCCC(=O)OCC=C(C)CCC=C(C)C
Snitz,7797,CCCCCCC(=O)OCC
Snitz,7799,CCCCCCCC(=O)OCC
Snitz,7800,CCCCCCCCCCCC(=O)OCC
Snitz,7802,CCCCC(=O)CC
Snitz,7803,CCCOC(=O)CC
Snitz,7820,COC(=O)CCC(=O)OC
Snitz,7822,CCC(C)CC(=O)CC
Snitz,7824,CCCCCC(=O)OC
Snitz,7826,CCCCCCC(=O)OC
Snitz,7848,CCCS
Snitz,7870,CC(CC(C)(C)O)O
Snitz,7887,CC(C)CCCC(C)C(CO)O
Snitz,7888,CC(CCCC(C)(C)O)CC=O
Snitz,7894,CC(C)CCN
Snitz,7895,CCCC(=O)C
Snitz,7909,CC(C)CC(=O)C
Snitz,7915,CC(C)OC(=O)C
Snitz,7921,CC1CCC(=O)O1
Snitz,7937,CC1=NC(=CC=C1)C
Snitz,7938,CC1=CN=CC(=N1)C
Snitz,7943,COC(=O)CC(=O)OC
Snitz,7945,CCOC(=O)CC(C)C
Snitz,7957,CC(C)CC(CC(C)C)O
Snitz,7966,C1CCC(CC1)O
Snitz,7969,C1=CC=C(C=C1)S
Snitz,7976,CC1=NC=CN=C1
Snitz,7981,CCCCOC(=O)CC(C)C
Snitz,7982,CC(C)CC(=O)OCCC(=CCC=C(C)C)C
Snitz,7983,CCCCOC(=O)CCC
Snitz,7984,C1CCCCCCCC(=O)OCCCCCCC1
Snitz,7991,CCCCC(=O)O
Snitz,7997,CCCOC(=O)C
Snitz,8007,CCCCN
Snitz,8012,CCCCS
Snitz,8013,C(CS)CS
Snitz,8025,CCOC=O
Snitz,8027,C1=CNC=C1
Snitz,8030,C1=CSC=C1
Snitz,8038,CC(C)COC(=O)C
Snitz,8042,CCCCCCCCCCCCCC(=O)OC(C)C
Snitz,8048,CCCCCCCCCC(=O)OCC
Snitz,8049,CCOC(=O)CCCCCCCCC(=O)OCC
Snitz,8050,CCCCCCCCCC(=O)OC
Snitz,8051,CCCCCC(=O)C
Snitz,8052,CC(C)CCOC=O
Snitz,8063,CCCCC=O
Snitz,8073,CCCOC=O
Snitz,8082,C1CCNCC1
Snitz,8091,CCCCCCCC(=O)OC
Snitz,8092,CCCCCC#CC(=O)OC
Snitz,8093,CCCCCCC(=O)C
Snitz,8094,CCCCCCC(=O)O
Snitz,8102,CCCCCCN
Snitz,8103,CCCCCCO
Snitz,8118,CCCSCCC
Snitz,8129,CCCCCCCO
Snitz,8130,CCCCCCC=O
Snitz,8134,COCCOCCO
Snitz,8136,CCCCCCC=CC(=O)OC
Snitz,8137,CCCCCCC#CC(=O)OC
Snitz,8139,CCCCCCCCCCCC(=O)OC
Snitz,8146,CCOCCOCCO
Snitz,8148,CCCCNCCCC
Snitz,8158,CCCCCCCCC(=O)O
Snitz,8159,CCCCCCCOC(=O)C
Snitz,8163,CCCCCCCCCC(=O)C
Snitz,8164,CCCCCCCCOC(=O)C
Snitz,8167,CCCCCCCCCCOC(=O)C
Snitz,8169,CCCCCCCOC=O
Snitz,8172,C(COCCOCCO)O
Snitz,8174,CCCCCCCCCCO
Snitz,8175,CCCCCCCCCC=O
Snitz,8176,CCCCCCCCOC=O
Snitz,8180,CCCCCCCCCCC(=O)O
Snitz,8184,CCCCCCCCCCCO
Snitz,8185,C=CCCCCCCCCCO
Snitz,8186,CCCCCCCCCCC=O
Snitz,8187,C=CCCCCCCCCC=O
Snitz,8193,CCCCCCCCCCCCO
Snitz,8194,CCCCCCCCCCCC=O
Snitz,8205,CCCCCCCCCCCCOC(=O)C
Snitz,8209,CCCCCCCCCCCCCCO
Snitz,8283,CC(=CCCC1(C2CC3C1(C3C2)C)C)CO
Snitz,8294,CC(=CCCC(C)(C=C)OC(=O)C)C
Snitz,8298,CC1CC(CC(C1)(C)C)O
Snitz,8314,CCC(C)C(=O)O
Snitz,8347,CC1CC(C=C(C2C1CC(=C(C)C)C2)C)OC(=O)C
Snitz,8361,C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O
Snitz,8363,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O
Snitz,8364,CCCCC(CC)COC(=O)C1=CC=CC=C1O
Snitz,8365,CCOC(=O)C1=CC=CC=C1O
Snitz,8369,CC1=C(C(=O)C=CO1)O
Snitz,8375,CC(=O)C1=CC=CC=C1O
Snitz,8400,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O
Snitz,8405,C1=CC=C2C=NC=CC2=C1
Snitz,8419,COC1=C(C=C(C=C1)C=O)OC
Snitz,8432,CCC(=O)OC(C)C1=CC=CC=C1
Snitz,8438,C1OC2=C(O1)C=C(C=C2)C=O
Snitz,8439,CC=CC1=CC2=C(C=C1)OCO2
Snitz,8452,C1CCC(=O)C1
Snitz,8467,CCOC1=C(C=CC(=C1)C=O)O
Snitz,8468,COC1=C(C=CC(=C1)C(=O)O)O
Snitz,8469,CCOC(=O)C1C(O1)C2=CC=CC=C2
Snitz,8499,COC1=CC=C(C=C1)C(=O)OC
Snitz,8500,CC1=CC=C(C=C1)C(=O)C
Snitz,8615,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2N
Snitz,8635,COC(=O)C1=CC=CC=C1N
Snitz,8658,COC1=CC=CC=C1C=O
Snitz,8698,CCCCOC(=O)C1=CC=CC=C1
Snitz,8710,CCCCCCCC1CCCC1=O
Snitz,8712,CC1=CC=CC=C1S
Snitz,8738,CCCCOC(=O)C(C)O
Snitz,8763,CCC(=O)OCC(COC(=O)CC)OC(=O)CC
Snitz,8767,CC(CCC=C(C)C)CCOC(=O)CC1=CC=CC=C1
Snitz,8768,C1=CC(=C(C=C1C=O)O)O
Snitz,8784,C1=CC=C(C=C1)C=CC(=O)O
Snitz,8785,CC(=O)OCC1=CC=CC=C1
Snitz,8791,CCCCCCCCCCCC(=O)OCC1=CC=CC=C1
Snitz,8792,CC(C)CC(=O)OCCC1=CC=CC=C1
Snitz,8794,C1=CC=C(C=C1)CC#N
Snitz,8797,CC1=CC=C(C=C1)OC(=O)C
Snitz,8815,COC1=CC=C(C=C1)CC=C
Snitz,8821,CCOC(=O)C=C
Snitz,8833,CC(CCCC(=C)C)CCOC(=O)C
Snitz,8834,CCC(=O)OCCC(C)CCC=C(C)C
Snitz,8835,CCCC(=O)OCCC(C)CCC=C(C)C
Snitz,8842,CC(CCC=C(C)C)CCO
Snitz,8857,CCOC(=O)C
Snitz,8858,CC(=CC(=O)C)C
Snitz,8863,CC(CCCC(C)(C)O)CC(OC)OC
Snitz,8868,CCOC(=O)CC(=O)C
Snitz,8878,CCCCCCC(=O)OCC=C
Snitz,8888,CC(=CCCC(=CCCC(C)(C=C)O)C)C
Snitz,8892,CCCCCC(=O)O
Snitz,8901,CC=CC=CC=O
Snitz,8908,CCCCCCOC(=O)C
Snitz,8914,CCCCCCCCCO
Snitz,8918,CCCCCCCCCOC(=O)C
Snitz,9016,COC1=CC=C(C=C1)OC
Snitz,9017,CC(CCC=C(C)C)CCOC(=O)C
Snitz,9018,C[C@@H](CCC[C@@H](C)CCCC(=CCO)C)CCCC(C)C
Snitz,9024,CC(=O)OC(C)(C)CC1=CC=CC=C1
Snitz,9025,COC1=CC(=CC=C1)OC
Snitz,9027,CCC(C)CCC(C)(CC)O
Snitz,9256,C1=CSC=N1
Snitz,9316,CCC=CCC=CCC=CCCCCCCCC(=O)OC
Snitz,9473,CC(=O)OCC1=CC2=C(C=C1)OCO2
Snitz,9589,CC(=O)C1=CN=CC=C1
Snitz,9609,CCSCC
Snitz,9862,CC(=CCCC(=O)C)C
Snitz,9895,CC1=C(C(CCC1)(C)C)C=O
Snitz,10099,C[C@@H]1CC[C@@H]2C13CC=C(C(C3)C2(C)C)C
Snitz,10106,CC(C)C12CCC(O1)(CC2)C
Snitz,10128,CC1(C2CCC(C1C2)(C)O)C
Snitz,10137,C[C@]12CCCC(C3[C@@H]1CCC3C2=C)(C)C
Snitz,10261,CCC=CCC1=C(CCC1=O)C
Snitz,10315,CCCC(=O)C1=CC=CC=C1
Snitz,10336,CC=C(C)C=O
Snitz,10353,CC1CCC(CC1)C(C)(C)O
Snitz,10364,CC1=C(C=C(C=C1)C(C)C)O
Snitz,10402,CC(CCC=C(C)C)CC(=O)O
Snitz,10409,C1CCCCCCCC(=O)CCCCCC1
Snitz,10430,CC(C)CC(=O)O
Snitz,10460,CCCC=CC=O
Snitz,10560,CCC(C)S
Snitz,10582,CC1(C2CC=C(C1C2)CO)C
Snitz,10722,CC1=CC=CC=C1C=O
Snitz,10748,COC1=CC2=C(C=C1)C=CC(=O)O2
Snitz,10795,CC(OC)OC
Snitz,10819,CC(=C)C1CCC(=CC1)CO
Snitz,10821,C#CC1=CC=CC=C1
Snitz,10861,CCCCOC(=O)C=CC1=CC=CC=C1
Snitz,10882,CCCCC(=O)OCC
Snitz,10883,CCOC(=O)CCC(=O)C
Snitz,10885,CCCC(=O)OCC(C)C
Snitz,10890,CCCCCOC(=O)CCC
Snitz,10892,C1=CC(=CC=C1F)F
Snitz,10895,CCC(=O)OCC(C)C
Snitz,10902,C(CS)S
Snitz,10931,CC(=CC(=O)O)C
Snitz,10947,CC1CCCCCCCCCCCCC(=O)C1
Snitz,10954,C1CCCC=CCCCCCCCC(=O)CCC1
Snitz,10957,CC(C)COC=O
Snitz,10975,CC(C)(CCCC(=C)C=C)O
Snitz,10976,CCCCCC(C)O
Snitz,10993,CCC=CCCO
Snitz,11002,CCCCSCCCC
Snitz,11039,CC(C)C(=O)OC
Snitz,11086,CC(=O)C1=CC=CC=C1N
Snitz,11124,CCC(=O)OC
Snitz,11160,CC(C)CC(=O)OC
Snitz,11173,CC(=CCO)C
Snitz,11196,CCC=CCCC=CC=O
Snitz,11230,CC1=CCC(CC1)(C(C)C)O
Snitz,11251,CC(C)C(=O)C
Snitz,11335,CC1=C(C(=CC=C1)C)O
Snitz,11363,CC(=O)C(=O)C1=CC=CC=C1
Snitz,11463,CC1=CCC(=C(C)C)CC1
Snitz,11487,C1=CC=C(C=C1)NC2=CC=CC=C2
Snitz,11505,CC1=CC=C(C=C1)CO
Snitz,11509,CCCC(=O)CC
Snitz,11514,CC(C)CC(=O)OCC(C)C
Snitz,11520,CCCCC(CC)O
Snitz,11529,CCCCOC(=O)CC
Snitz,11552,CC(C)CC=O
Snitz,11559,CC1=CCC(=O)O1
Snitz,11579,CC(=O)CCC(=O)O
Snitz,11617,C=CCSCC=C
Snitz,11732,CC(C)C(C)O
Snitz,11747,CCC(=O)C(=O)C
Snitz,11902,COC(=O)C1=CC=CO1
Snitz,11962,CC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2
Snitz,12020,CCC(C=C)O
Snitz,12021,COC(=O)OC
Snitz,12041,CCOC(=O)C(=O)C
Snitz,12044,CC(C)C(=O)OC(C)C
Snitz,12045,CC(=CC(=O)OC)C(=O)OC
Snitz,12053,CC(C)(C1=CC=CC=C1)O
Snitz,12072,CC1CCC(CC1O)C(=C)C
Snitz,12097,CC1=CC=C(O1)C=O
Snitz,12127,COC1=C(C=C(C=C1)C=O)O
Snitz,12146,CC(=O)OC1CCCCC1
Snitz,12170,CC(=O)OCC1=CC=CO1
Snitz,12174,C1=COC(=C1)C=CC=O
Snitz,12177,CCC=C(C)C=O
Snitz,12178,CCCC(CC)O
Snitz,12180,CCCC(=O)OC
